Objet	Model	Type	Prix	Puissance	Controleur	Diametre sortie	Path	
SCS_7_210_60_BL	SCS 7-210-60-BL	Submersible	1675.35	0.75	PCA 60-BLS-M2S	1.25	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCS_7_210_60_BL.txt	
SCS_75_250_120Y_BL	SCS 7.5-250-120Y BL	Submersible	1675.35	1	PCA 60-BLS-M2S	1.25	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCS_75_250_120Y_BL.txt	
SCS_8_410_120_BL	SCS 8-410-120 BL	Submersible	1942.65	1.5	PCA 120-BLS-M2S	1.25	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCS_8_410_120_BL.txt	
SCS_8_500_180_BL	SCS 8-500-180 BL	Submersible	2176.2	3	PCC 180-BLS-M2S	1.25	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCS_8_500_180_BL.txt	
SCS_10_165_60_BL	SCS 10-165-60 BL	Submersible	1620	0.75	PCA 60-BLS-M2S	1.25	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCS_10_165_60_BL.txt	
SCS_10_210_120Y_BL	SCS 10-210-120Y BL	Submersible	1620	1	PCA 120-BLS-M2S	1.25	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCS_10_210_120Y_BL.txt	
SCS_10_440_180_BL	SCS 10-440-180 BL	Submersible	2003.4	3	PCC 180-BLS-M2S	1.25	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCS_10_440_180_BL.txt	
SCS_10_600_240_BL	SCS 10-600-240 BL	Submersible	2281.5	3.5	PCC 240-BLS-M2S	1.25	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCS_10_600_240_BL.txt	
SCS_12_127_60_BL	SCS 12-127-60 BL	Submersible	1566	0.75	PCA 60-BLS-M2S	1.25	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCS_12_127_60_BL.txt	
SCS_12_160_120Y_BL	SCS 12-160-120Y	Submersible	1566	1	PCA 120-BLS-M2S	1.25	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCS_12_160_120Y_BL.txt	
SCS_12_265_120_BL	SCS 12-265-120 BL	Submersible	1782	1.5	PCA 120-BLS-M2S	1.25	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCS_12_265_120_BL.txt	
SCS_12_375_180_BL	SCS 12-375-180 BL	Submersible	1948.05	3	PCC 180-BLS-M2S	1.25	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCS_12_375_180_BL.txt	
SCS_14_95_60_BL	SCS 14-95-60 BL	Submersible	1551.15	0.75	PCA 60-BLS-M2S	1.25	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCS_14_95_60_BL.txt	
SCS_14_370_240_BL	SCS 14-370-240	Submersible	2066.85	3.5	PCC 240-BLS-M2S	1.25	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCS_14_370_240_BL.txt	
SCS_17_280_180_BL	SCS 17-280-180 BL	Submersible	1887.3	2	PCC 180-BLS-M2S	1.25	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCS_17_280_180_BL.txt	
SCS_18_90_60_BL	SCS 18-90-60 BL	Submersible	1529.55	0.75	PCA 60-BLS-M2S	1.25	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCS_18_90_60_BL.txt	
SCS_18_105_120Y_BL	SCS 18-105-120Y BL	Submersible	1551.15	1	PCA 120-BLS-M2S	1.25	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCS_18_105_120Y_BL.txt	
SCS_20_90_120Y_BL	SCS 20-90-120Y BL	Submersible	1516.05	1	PCA 120-BLS-M2S	1.5	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCS_20_90_120Y_BL.txt	
SCS_20_180_120_BL	SCS 20-180-120 BL	Submersible	1755	1.5	PCA 120-BLS-M2S	1.5	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCS_20_180_120_BL.txt	
SCS_20_190_180_BL	SCS 20-190-180 BL	Submersible	1857.6	3	PCC 180-BLS-M2S	1.5	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCS_20_90_180_BL.txt	
SCS_20_350_240_BL	SCS 20-350-240 BL	Submersible	2135.7	3.5	PCC 240-BLS-M2S	1.25	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCS_20_350_240_BL.txt	
SCS_22_300_240_BL	SCS 22-300-240 BL	Submersible	2093.85	3	PCC 240-BLS-M2S	1.5	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCS_22_300_240_BL.txt	
