Motor voltage	TDH m	Motor amps	LPM	Motor watts	Efficiency
60	0.0	4.4	73.7	262	0
60	3.5	4.5	67.5	267	15
60	7.0	4.5	61.1	269	26
60	10.6	4.5	53.4	268	34
60	14.1	4.3	44.2	259	39
60	17.6	4.0	30.4	239	36
60	21.1	3.5	10.8	207	18
60	22.5	2.9	0.0	176	0
75	0.0	6.2	91.9	465	0
75	3.5	6.3	86.9	470	11
75	7.0	6.3	81.8	475	20
75	10.6	6.4	76.3	478	28
75	14.1	6.4	70.2	478	34
75	17.6	6.3	63.7	473	39
75	21.1	6.2	55.6	464	41
75	24.6	5.9	46.6	446	42
75	28.2	5.5	34.9	413	39
75	31.7	5.0	21.0	376	29
75	35.9	4.1	0.0	307	0
90	0.0	8.1	108.0	728	0
90	3.5	8.1	103.6	732	8
90	7.0	8.2	99.5	739	15
90	10.6	8.3	95.1	744	22
90	14.1	8.3	90.5	747	28
90	17.6	8.3	85.7	747	33
90	21.1	8.3	80.2	745	37
90	24.6	8.2	74.1	739	40
90	28.2	8.1	67.6	729	43
90	31.7	7.9	60.3	711	44
90	35.2	7.7	52.3	691	44
90	38.7	7.3	43.2	654	42
90	42.3	6.8	32.0	609	36
90	45.8	6.4	19.6	577	25
90	50.0	5.4	0.0	488	0
105	0.0	10.2	123.8	1074	0
105	3.5	10.3	120.4	1076	6
105	7.0	10.3	116.5	1080	12
105	10.6	10.4	113.2	1091	18
105	14.1	10.5	108.9	1099	23
105	17.6	10.5	105.0	1103	27
105	21.1	10.5	100.6	1104	31
105	24.6	10.5	96.1	1103	35
105	28.2	10.5	91.4	1099	38
105	31.7	10.4	86.8	1089	41
105	35.2	10.3	81.3	1084	43
105	38.7	10.1	75.3	1065	45
105	42.3	10.0	68.7	1050	45
105	45.8	9.7	61.3	1023	45
105	49.3	9.4	53.4	991	43
105	52.8	9.0	45.3	946	41
105	56.3	8.6	36.0	901	37
105	59.9	8.3	25.7	866	29
105	63.4	7.8	14.0	817	18
105	66.9	6.9	0.0	727	0
120	0.0	12.7	140.5	1519	0
120	3.5	12.7	137.1	1525	5
120	7.0	12.8	133.6	1534	10
120	10.6	12.8	130.7	1540	15
120	14.1	13.0	126.8	1554	19
120	17.6	13.0	123.2	1562	23
120	21.1	13.1	119.5	1566	26
120	24.6	13.1	115.7	1567	30
120	28.2	13.1	111.9	1567	33
120	31.7	13.1	107.9	1566	36
120	35.2	13.0	103.7	1562	38
120	38.7	12.9	99.0	1550	40
120	42.3	12.9	94.4	1543	42
120	45.8	12.7	89.5	1529	44
120	49.3	12.6	84.2	1513	45
120	52.8	12.4	78.4	1490	45
120	56.3	12.2	72.6	1464	46
120	59.9	11.9	65.3	1428	45
120	63.4	11.5	58.2	1384	44
120	66.9	11.0	50.7	1316	42
120	70.4	10.5	42.3	1261	39
120	73.9	10.1	33.1	1207	33
120	77.5	9.9	22.7	1183	24
120	81.0	9.2	10.6	1102	13
120	83.8	8.3	0.0	998	0
