Motor voltage	TDH (m)	Motor amps	LPM	Motor Watts	Efficiency
30	1.991701245	4.102564103	242.3076923	123.0769231	0
30	4.232365145	4.038461538	192.3076923	121.1538462	0
30	6.22406639	3.653846154	115.3846154	109.6153846	0
30	8.46473029	2.948717949	0	88.46153846	0
45	2.053941909	6.538461538	376.9230769	294.2307692	0
45	4.170124481	6.474358974	353.8461538	291.3461538	0
45	6.348547718	6.41025641	315.3846154	288.4615385	0
45	8.46473029	6.346153846	276.9230769	285.5769231	0
45	10.64315353	6.08974359	234.6153846	274.0384615	0
45	12.69709544	5.769230769	180.7692308	259.6153846	0
45	14.81327801	5.320512821	111.5384615	239.4230769	0
45	16.68049793	4.423076923	0	199.0384615	0
60	1.991701245	9.038461538	492.3076923	542.3076923	0
60	4.107883817	9.038461538	469.2307692	542.3076923	0
60	6.286307054	9.038461538	446.1538462	542.3076923	0
60	8.402489627	8.974358974	423.0769231	538.4615385	0
60	10.64315353	8.974358974	396.1538462	538.4615385	0
60	12.69709544	8.782051282	365.3846154	526.9230769	0
60	14.81327801	8.717948718	334.6153846	523.0769231	0
60	16.61825726	8.461538462	303.8461538	507.6923077	0
60	18.73443983	8.269230769	265.3846154	496.1538462	0
60	20.97510373	7.884615385	219.2307692	473.0769231	0
60	23.02904564	7.5	161.5384615	450	0
60	25.20746888	7.051282051	103.8461538	423.0769231	0
60	27.26141079	6.08974359	0	365.3846154	0
