Motor Voltage	TDH m	Motor Amps	LPM	Motor Watts	Efficiency
180	0.0	6.57	57.5	1183	0
180	28.2	6.82	52.0	1228	19
180	56.3	7.02	45.0	1264	33
180	84.5	7.17	37.6	1291	40
180	112.7	6.96	28.1	1253	41
180	126.8	6.51	21.5	1172	38
180	140.9	5.59	11.8	1006	27
180	154.9	3.98	0.0	716	0
195	0.0	7.38	61.8	1439	0
195	28.2	7.64	56.8	1490	18
195	56.3	7.76	50.7	1513	31
195	84.5	7.94	43.9	1548	39
195	112.7	7.91	36.0	1542	43
195	140.9	7.40	26.5	1443	42
195	154.9	6.00	19.3	1170	42
195	169.0	5.14	9.1	1002	25
195	181.7	4.40	0.0	858	0
210	0.0	8.27	65.9	1737	0
210	28.2	8.62	61.4	1810	16
210	56.3	8.79	56.0	1846	28
210	84.5	9.00	49.9	1890	36
210	112.7	9.09	42.7	1909	41
210	140.9	8.97	34.4	1884	42
210	169.0	8.24	24.3	1730	39
210	197.2	5.71	6.5	1199	17
210	206.4	5.02	0.0	1054	0
225	0.0	9.24	70.2	2079	0
225	28.2	9.53	65.4	2144	14
225	56.3	9.73	60.6	2189	25
225	84.5	9.90	54.9	2228	34
225	112.7	10.04	48.9	2259	40
225	140.9	10.02	41.9	2255	43
225	169.0	9.62	33.7	2165	43
225	197.2	8.73	22.3	1964	37
225	211.3	7.61	14.1	1712	28
225	230.3	5.38	0.0	1211	0
240	0.0	10.05	74.2	2412	0
240	28.2	10.40	70.2	2496	13
240	56.3	10.60	65.3	2544	24
240	84.5	10.83	60.3	2599	32
240	112.7	11.04	54.4	2650	38
240	140.9	11.04	48.1	2650	42
240	169.0	11.05	41.3	2652	43
240	197.2	10.52	33.3	2525	42
240	225.4	9.38	22.0	2251	36
240	253.5	6.40	4.2	1536	11
240	260.6	5.93	0.0	1423	0
