Motor Voltage	TDH m	Motor Amps	LPM	Motor Watts	Efficiency
75	0.0	4.22	60.8	317	0
75	3.5	4.20	57.6	315	11
75	7.0	4.20	54.2	315	20
75	10.6	4.19	50.2	314	28
75	14.1	4.15	45.4	311	34
75	17.6	4.05	40.3	304	38
75	21.1	3.90	34.3	293	40
75	24.6	3.70	27.3	278	40
75	28.2	3.25	16.9	244	32
75	31.0	2.35	0.0	176	0
90	0.0	5.32	72.1	479	0
90	3.5	5.33	69.1	480	8
90	7.0	5.33	65.9	480	16
90	10.6	5.32	62.5	479	23
90	14.1	5.31	58.9	478	28
90	17.6	5.26	55.1	473	33
90	21.1	5.24	50.8	472	37
90	24.6	5.12	46.0	461	40
90	28.2	4.97	40.7	447	42
90	31.7	4.74	34.3	427	42
90	35.2	4.42	27.4	398	40
90	38.7	3.87	17.0	348	31
90	43.0	2.92	0.0	263	0
105	0.0	6.46	81.3	678	0
105	3.5	6.46	78.7	678	7
105	7.0	6.46	76.2	678	13
105	10.6	6.44	73.4	676	19
105	14.1	6.45	70.4	677	24
105	17.6	6.43	67.1	675	29
105	21.1	6.40	63.4	672	33
105	24.6	6.36	59.8	668	36
105	28.2	6.27	55.8	658	39
105	31.7	6.14	51.1	645	41
105	35.2	6.01	46.6	631	42
105	38.7	5.82	41.6	611	43
105	42.3	5.64	36.3	592	42
105	45.8	5.39	30.4	566	40
105	49.3	4.88	21.7	512	34
105	52.8	4.05	10.6	425	21
105	55.6	3.48	0.0	365	0
120	0.0	7.68	90.6	922	0
120	3.5	7.70	88.3	924	5
120	7.0	7.72	85.9	926	11
120	10.6	7.71	83.4	925	16
120	14.1	7.70	80.8	924	20
120	17.6	7.68	77.9	922	24
120	21.1	7.65	74.9	918	28
120	24.6	7.60	71.9	912	32
120	28.2	7.58	68.6	910	35
120	31.7	7.52	65.1	902	37
120	35.2	7.44	61.5	893	40
120	38.7	7.31	57.6	877	42
120	42.3	7.18	53.4	862	43
120	45.8	7.03	49.3	844	44
120	49.3	6.84	44.8	821	44
120	52.8	6.62	39.7	794	43
120	56.3	6.32	34.1	758	41
120	59.9	6.00	27.5	720	37
120	63.4	5.51	19.6	661	31
120	66.9	4.93	10.0	592	18
120	70.4	4.27	0.0	512	0
