Motor Voltage	TDH Meters	Motor Amps	LPM	Motor Watts	Efficiency
30	0	4.71	27	141	0
30	3.5	4.9	26	147	10
30	7	4.94	24	148	18
30	10.6	4.98	21	149	25
30	14.1	4.98	18	149	28
30	17.6	4.91	14	147	28
30	21.1	4.73	10	142	25
30	24.6	4.34	6	130	17
30	28.9	3.53	0	106	0
45	0	8.1	40	364	0
45	3.5	8.1	39	366	6
45	7	8.2	37	369	12
45	10.6	8.3	36	374	17
45	14.1	8.4	34	379	21
45	17.6	8.4	33	380	25
45	21.1	8.5	31	382	28
45	24.6	8.5	29	384	30
45	28.2	8.6	27	385	32
45	31.7	8.5	25	381	34
45	35.2	8.4	23	378	34
45	38.7	8.2	20	370	35
45	42.3	8.1	18	365	34
45	45.8	7.9	15	356	33
45	49.3	7.6	13	341	30
45	52.8	7.1	9	319	25
45	56.3	6.4	5	289	17
45	60.6	5.7	0	258	0
60	0	12.3	52	736	0
60	3.5	12.3	51	737	4
60	7	12.5	49	747	8
60	10.6	12.5	48	749	11
60	14.1	12.6	47	754	14
60	17.6	12.6	46	754	17
60	21.1	12.7	45	760	20
60	24.6	12.8	43	765	23
60	28.2	12.8	42	770	25
60	31.7	12.8	41	768	27
60	35.2	12.8	39	770	29
60	38.7	12.9	38	773	31
60	42.3	12.9	36	774	32
60	45.8	12.9	35	775	34
60	49.3	12.9	33	774	35
60	52.8	12.8	32	769	35
60	56.3	12.8	30	768	36
60	59.9	12.7	28	760	36
60	63.4	12.5	26	748	36
60	66.9	12.4	25	745	36
60	70.4	12.2	23	732	36
60	73.9	12	21	722	35
60	77.5	11.6	19	698	34
60	81	11.5	17	691	33
60	84.5	11.1	15	667	31
60	88	10.7	13	640	29
60	91.6	10.1	11	604	26
60	95.1	9.4	8	566	21
60	98.6	8.8	4	526	13
60	102.8	8.3	0	496	0
