PUMP NAME: SCB_10_200_180_BL
PRICE: 1215 					# in USD
# '.' are mandatory inputs that should be replaced by specifications or the line should be removed. 
# 'nan' are optional input.
# Units for columns are in the order: 
# [V]	[m]	[A]	[L/min]	[W]	[no unit]
voltage	tdh	current	flow	power	efficiency
120	0.0	2.8	47.9	334	0
120	7.0	2.8	43.4	340	15
120	14.1	2.9	38.4	347	25
120	21.1	2.9	32.8	350	32
120	28.2	2.9	26.3	347	35
120	35.2	2.7	18.2	329	32
120	43.0	1.9	0.0	229	0
135	0.0	3.3	53.0	448	0
135	7.0	3.4	49.2	456	12
135	14.1	3.4	45.1	464	22
135	21.1	3.5	40.7	470	30
135	28.2	3.5	35.5	474	34
135	35.2	3.5	29.6	470	36
135	42.3	3.4	22.2	452	34
135	49.3	3.0	11.2	400	23
135	54.2	2.3	0.0	308	0
150	0.0	3.9	58.6	581	0
150	7.0	3.9	55.1	591	11
150	14.1	4.0	51.4	597	20
150	21.1	4.0	47.5	605	27
150	28.2	4.1	43.2	611	33
150	35.2	4.1	38.5	614	36
150	42.3	4.1	33.2	612	37
150	49.3	4.0	26.9	594	36
150	56.3	3.7	18.8	549	32
150	63.4	3.1	7.7	462	17
150	66.9	2.6	0.0	390	0
165	0.0	4.5	64.2	741	0
165	7.0	4.6	61.1	751	9
165	14.1	4.6	57.7	759	17
165	21.1	4.7	54.4	771	24
165	28.2	4.7	50.6	777	30
165	35.2	4.8	46.7	784	34
165	42.3	4.8	42.2	789	37
165	49.3	4.8	37.4	787	38
165	56.3	4.7	31.5	767	38
165	63.4	4.4	24.9	731	35
165	70.4	4.0	16.8	667	29
165	77.5	3.3	5.6	541	13
165	80.3	2.9	0.0	483	0
180	0.0	5.2	70.1	927	0
180	7.0	5.2	67.3	940	8
180	14.1	5.3	63.9	949	15
180	21.1	5.3	60.6	958	22
180	28.2	5.4	57.1	963	27
180	35.2	5.4	53.7	972	32
180	42.3	5.5	50.0	985	35
180	49.3	5.5	45.9	983	38
180	56.3	5.5	41.6	983	39
180	63.4	5.4	36.8	968	39
180	70.4	5.3	31.3	950	38
180	77.5	5.0	24.8	893	35
180	84.5	4.6	17.1	824	29
180	91.6	3.9	8.1	709	17
180	96.5	3.4	0.0	612	0
