PUMP NAME: SCB_10_220_180_BL
PRICE: 1227  					# in USD
# '.' are mandatory inputs that should be replaced by specifications or the line should be removed. 
# 'nan' are optional input.
# Units for columns are in the order: 
# [V]	[m]	[A]	[L/min]	[W]	[no unit]
voltage	tdh	current	flow	power	efficiency
120	0.0	2.9	46.9	353	0
120	7.0	3.0	43.1	358	14
120	14.1	3.1	38.8	366	24
120	21.1	3.1	33.8	372	31
120	28.2	3.1	28.2	372	35
120	35.2	3.0	21.0	359	34
120	42.3	2.6	11.1	314	24
120	46.5	2.0	0.0	242	0
135	0.0	3.5	52.6	474	0
135	7.0	3.6	49.3	483	12
135	14.1	3.6	45.4	491	21
135	21.1	3.7	41.5	498	29
135	28.2	3.7	36.8	502	34
135	35.2	3.7	31.7	502	36
135	42.3	3.7	25.3	493	35
135	49.3	3.4	17.4	462	30
135	56.3	2.8	6.2	381	15
135	59.2	2.4	0.0	324	0
150	0.0	4.1	58.1	618	0
150	7.0	4.2	55.0	623	10
150	14.1	4.2	51.7	635	19
150	21.1	4.3	48.0	641	26
150	28.2	4.3	44.2	647	31
150	35.2	4.4	40.0	653	35
150	42.3	4.4	35.4	654	37
150	49.3	4.3	29.8	647	37
150	56.3	4.2	23.6	624	35
150	63.4	3.8	14.5	563	27
150	71.8	2.8	0.0	420	0
165	0.0	4.8	63.6	784	0
165	7.0	4.8	60.9	797	9
165	14.1	4.9	57.9	807	17
165	21.1	5.0	54.7	818	23
165	28.2	5.0	51.2	827	28
165	35.2	5.1	47.7	833	33
165	42.3	5.1	43.6	842	36
165	49.3	5.1	39.2	845	37
165	56.3	5.1	34.6	833	38
165	63.4	4.9	29.0	809	37
165	70.4	4.6	22.0	764	33
165	77.5	4.3	13.3	701	24
165	85.9	3.2	0.0	530	0
180	0.0	5.4	69.1	977	0
180	7.0	5.5	66.5	986	8
180	14.1	5.6	63.9	1003	15
180	21.1	5.7	61.1	1017	21
180	28.2	5.7	58.0	1021	26
180	35.2	5.7	55.0	1031	31
180	42.3	5.8	51.6	1040	34
180	49.3	5.8	48.1	1044	37
180	56.3	5.8	44.4	1044	39
180	63.4	5.8	40.0	1039	40
180	70.4	5.7	35.2	1019	40
180	77.5	5.5	29.4	988	38
180	84.5	5.2	22.6	936	33
180	91.6	4.7	15.1	853	27
180	98.6	4.0	6.3	715	14
180	102.8	3.6	0.0	648	0
