PUMP NAME: SCB_22_185_180_BL
# '.' are mandatory inputs that should be replaced by specifications or the line should be removed. 
# 'nan' are optional input.
# Units for columns are in the order: 
# [V]	[m]	[A]	[L/min]	[W]	[no unit]
voltage	tdh	current	flow	power	efficiency
120	0.0	5.0	101.4	604	0
120	7.0	5.1	92.8	612	17
120	14.1	5.2	82.7	618	31
120	21.1	5.1	71.3	614	40
120	28.2	4.9	56.9	592	44
120	35.2	4.4	36.1	530	39
120	43.0	3.3	0.0	398	0
135	0.0	6.0	112.9	813	0
135	7.0	6.1	105.3	824	15
135	14.1	6.2	96.6	830	27
135	21.1	6.1	86.9	829	36
135	28.2	6.1	75.9	822	42
135	35.2	5.9	62.8	794	46
135	42.3	5.5	45.3	738	42
135	49.3	4.8	22.1	644	28
135	54.2	4.0	0.0	537	0
150	0.0	7.0	123.3	1047	0
150	7.0	7.0	117.0	1055	13
150	14.1	7.1	109.3	1071	23
150	21.1	7.2	100.9	1077	32
150	28.2	7.1	91.4	1071	39
150	35.2	7.0	80.6	1050	44
150	42.3	6.9	68.6	1029	46
150	49.3	6.5	53.9	977	44
150	56.3	5.9	33.3	878	35
150	64.8	4.7	0.0	708	0
165	0.0	8.2	135.5	1360	0
165	7.0	8.3	129.3	1371	11
165	14.1	8.3	122.3	1376	20
165	21.1	8.4	114.6	1386	29
165	28.2	8.4	106.6	1386	35
165	35.2	8.4	98.2	1386	41
165	42.3	8.3	88.3	1370	44
165	49.3	8.1	77.3	1337	47
165	56.3	7.9	64.9	1300	46
165	63.4	7.3	47.4	1200	41
165	70.4	6.6	25.1	1089	26
165	77.5	5.5	0.0	903	0
180	0.0	9.2	145.5	1656	0
180	7.0	9.3	139.3	1667	10
180	14.1	9.4	133.2	1683	18
180	21.1	9.4	126.6	1688	26
180	28.2	9.4	119.0	1696	32
180	35.2	9.4	111.1	1688	38
180	42.3	9.4	102.8	1685	42
180	49.3	9.3	93.9	1667	45
180	56.3	9.1	83.8	1634	47
180	63.4	8.8	71.6	1588	47
180	70.4	8.4	57.2	1507	44
180	77.5	7.7	39.7	1391	36
180	84.5	7.3	20.4	1314	21
180	90.9	6.2	0.0	1107	0
