PUMP NAME: SCB_22_250_180_BL
PRICE: 1234
# '.' are mandatory inputs that should be replaced by specifications or the line should be removed. 
# 'nan' are optional input.
# Units for columns are in the order: 
# [V]	[m]	[A]	[L/min]	[W]	[no unit]
voltage	tdh	current	flow	power	efficiency
120	0.0	6.7	100.2	804	0
120	7.0	6.8	93.5	811	13
120	14.1	6.9	87.0	823	24
120	21.1	6.9	79.6	829	33
120	28.2	6.9	71.6	828	40
120	35.2	6.8	62.2	815	44
120	42.3	6.6	52.2	793	45
120	49.3	6.2	38.7	738	42
120	56.3	5.5	21.7	655	30
120	63.4	4.5	0.0	538	0
135	0.0	8.0	110.7	1080	0
135	7.0	8.1	104.8	1091	11
135	14.1	8.2	99.1	1104	21
135	21.1	8.2	92.6	1106	29
135	28.2	8.2	85.8	1107	36
135	35.2	8.2	78.4	1103	41
135	42.3	8.1	70.2	1098	44
135	49.3	8.0	61.5	1075	46
135	56.3	7.7	51.0	1035	45
135	63.4	7.0	37.2	949	41
135	70.4	6.5	20.1	878	26
135	77.5	5.4	0.0	728	0
150	0.0	9.5	121.7	1421	0
150	7.0	9.6	116.4	1434	9
150	14.1	9.6	111.1	1443	18
150	21.1	9.7	105.6	1460	25
150	28.2	9.8	99.8	1467	31
150	35.2	9.8	93.5	1466	37
150	42.3	9.7	86.9	1460	41
150	49.3	9.7	79.8	1451	44
150	56.3	9.5	71.7	1424	46
150	63.4	9.3	62.4	1397	46
150	70.4	8.9	51.7	1334	45
150	77.5	8.2	39.3	1230	40
150	84.5	7.6	24.7	1143	30
150	91.6	6.9	8.0	1029	12
150	94.4	6.3	0.0	948	0
165	0.0	10.9	131.3	1803	0
165	7.0	11.0	126.8	1818	8
165	14.1	11.1	122.1	1833	15
165	21.1	11.2	117.3	1848	22
165	28.2	11.3	112.0	1865	28
165	35.2	11.3	106.6	1866	33
165	42.3	11.3	100.6	1865	37
165	49.3	11.3	94.3	1856	41
165	56.3	11.2	87.6	1843	44
165	63.4	11.1	80.4	1827	46
165	70.4	10.9	72.7	1799	47
165	77.5	10.7	64.5	1759	46
165	84.5	10.3	54.4	1701	44
165	91.6	9.7	43.5	1592	41
165	98.6	9.1	30.6	1502	33
165	105.6	8.7	17.1	1434	21
165	112.7	7.4	0.0	1223	0
180	0.0	12.4	140.7	2227	0
180	7.0	12.4	136.4	2237	7
180	14.1	12.6	132.4	2259	13
180	21.1	12.7	127.9	2279	19
180	28.2	12.7	123.2	2293	25
180	35.2	12.8	118.1	2299	30
180	42.3	12.8	113.0	2304	34
180	49.3	12.8	107.6	2302	38
180	56.3	12.8	101.9	2297	41
180	63.4	12.7	95.7	2286	43
180	70.4	12.6	89.1	2261	45
180	77.5	12.4	82.1	2234	46
180	84.5	12.2	74.5	2201	47
180	91.6	11.9	65.8	2137	46
180	98.6	11.4	56.4	2056	44
180	105.6	10.7	45.9	1919	41
180	112.7	10.2	33.9	1829	34
180	119.7	9.7	20.4	1751	23
180	128.9	8.2	0.0	1480	0
