PUMP NAME: SCB_22_95_120_BL
Price: 998
# '.' are mandatory inputs that should be replaced by specifications or the line should be removed. 
# 'nan' are optional input.
# Units for columns are in the order: 
# [V]	[m]	[A]	[L/min]	[W]	[no unit]
voltage	tdh	current	flow	power	efficiency
60	0.0	2.7	78.9	162	0
60	3.5	2.7	65.7	164	23
60	7.0	2.7	48.1	160	35
60	10.6	2.1	15.0	128	20
60	12.0	1.8	0.0	109	0
75	0.0	3.8	96.8	283	0
75	3.5	3.8	86.4	284	17
75	7.0	3.8	74.8	286	30
75	10.6	3.7	60.8	278	38
75	14.1	3.4	41.0	255	37
75	17.6	2.8	12.9	209	18
75	19.0	2.5	0.0	186	0
90	0.0	5.0	114.0	450	0
90	3.5	5.0	106.6	452	14
90	7.0	5.1	97.7	455	25
90	10.6	5.1	87.6	455	33
90	14.1	5.0	77.1	448	40
90	17.6	4.8	62.8	433	42
90	21.1	4.4	43.5	393	38
90	24.6	3.8	19.1	345	22
90	26.8	3.3	0.0	295	0
105	0.0	6.3	131.9	664	0
105	3.5	6.4	125.3	669	11
105	7.0	6.4	117.6	675	20
105	10.6	6.5	110.0	678	28
105	14.1	6.4	101.0	676	34
105	17.6	6.4	91.7	669	39
105	21.1	6.2	81.5	654	43
105	24.6	6.1	68.1	635	43
105	28.2	5.6	51.6	589	40
105	31.7	5.1	30.1	531	29
105	35.2	4.2	0.0	437	0
120	0.0	7.7	148.1	922	0
120	3.5	7.7	142.2	928	9
120	7.0	7.8	136.0	936	17
120	10.6	7.8	129.6	940	24
120	14.1	7.9	122.6	942	30
120	17.6	7.8	114.9	940	35
120	21.1	7.8	105.9	934	39
120	24.6	7.7	96.9	924	42
120	28.2	7.5	86.6	898	44
120	31.7	7.3	74.8	877	44
120	35.2	6.9	60.4	829	42
120	38.7	6.4	44.3	764	37
120	42.3	6.0	23.9	715	23
120	45.1	5.0	0.0	605	0
