PUMP NAME: SCSS_7_160
# '.' are mandatory inputs that should be replaced by specifications or the line should be removed. 
# 'nan' are optional input.
# Units for columns are in the order: 
# [V]	[m]	[A]	[L/min]	[W]	[no unit]
voltage	tdh	current	flow	power	efficiency
30	1.991701245	4.102564103	242.30	123.0769231	nan
30	4.232365145	4.038461538	192.30	121.1538462	nan
30	6.22406639	3.653846154	115.38	109.6153846	nan
30	8.46473029	2.948717949	0	88.46153846	nan
45	2.053941909	6.538461538	376.92	294.2307692	nan
45	4.170124481	6.474358974	353.84	291.3461538	nan
45	6.348547718	6.41025641	315.38	288.4615385	nan
45	8.46473029	6.346153846	276.92	285.5769231	nan
45	10.64315353	6.08974359	234.61	274.0384615	nan
45	12.69709544	5.769230769	180.76	259.6153846	nan
45	14.81327801	5.320512821	111.53	239.4230769	nan
45	16.68049793	4.423076923	0	199.0384615	nan
60	1.991701245	9.038461538	492.30	542.3076923	nan
60	4.107883817	9.038461538	469.23	542.3076923	nan
60	6.286307054	9.038461538	446.15	542.3076923	nan
60	8.402489627	8.974358974	423.07	538.4615385	nan
60	10.64315353	8.974358974	396.15	538.4615385	nan
60	12.69709544	8.782051282	365.38	526.9230769	nan
60	14.81327801	8.717948718	334.61	523.0769231	nan
60	16.61825726	8.461538462	303.84	507.6923077	nan
60	18.73443983	8.269230769	265.38	496.1538462	nan
60	20.97510373	7.884615385	219.23	473.0769231	nan
60	23.02904564	7.500000	161.53	450.0000	nan
60	25.20746888	7.051282051	103.84	423.0769231	nan
60	27.26141079	6.08974359	0	365.3846154	nan
