PUMP NAME: SCS_142_32_180_BL
# '.' are mandatory inputs that should be replaced by specifications or the line should be removed. 
# 'nan' are optional input.
# Units for columns are in the order: 
# [V]	[m]	[A]	[L/min]	[W]	[no unit]
voltage	tdh	current	flow	power	efficiency
120	0.0	6.37	693.8	764	0
120	1.4	6.35	622.6	762	19
120	2.8	6.28	544.3	754	33
120	4.2	5.97	436.4	716	42
120	5.6	5.47	301.7	656	42
120	7.0	4.99	136.6	599	26
120	7.7	4.69	0.0	563	0
135	0.0	7.53	771.4	1017	0
135	1.4	7.54	712.0	1018	16
135	2.8	7.52	639.3	1015	29
135	4.2	7.34	556.4	991	39
135	5.6	7.01	454.2	946	44
135	7.0	6.50	335.0	878	44
135	8.5	6.04	184.7	815	31
135	9.5	5.53	0.0	747	0
150	0.0	8.76	842.5	1314	0
150	1.4	8.77	785.8	1316	14
150	2.8	8.77	726.0	1316	25
150	4.2	8.66	653.7	1299	35
150	5.6	8.35	573.0	1253	42
150	7.0	7.98	481.8	1197	46
150	8.5	7.51	375.5	1127	46
150	9.9	7.08	239.2	1062	36
150	11.3	6.40	0.0	960	0
165	0.0	10.22	918.2	1686	0
165	1.4	10.23	869.8	1688	12
165	2.8	10.24	813.8	1690	22
165	4.2	10.22	753.2	1686	31
165	5.6	10.05	681.3	1658	38
165	7.0	9.77	604.5	1612	43
165	8.5	9.45	521.6	1559	46
165	9.9	8.92	425.1	1472	46
165	11.3	8.36	309.6	1379	41
165	12.7	7.94	140.8	1310	22
165	13.6	7.52	0.0	1241	0
180	0.0	11.33	986.4	2039	0
180	1.4	11.36	941.7	2045	11
180	2.8	11.38	890.2	2048	20
180	4.2	11.37	836.9	2047	28
180	5.6	11.25	772.5	2025	35
180	7.0	11.02	703.3	1984	41
180	8.5	10.69	625.7	1924	45
180	9.9	10.35	537.8	1863	46
180	11.3	9.91	444.4	1784	46
180	12.7	9.41	331.9	1694	41
180	14.1	8.68	199.1	1562	29
180	15.6	8.34	0.0	1501	0
