PUMP NAME: SCS_14_95_60_BL
PRICE: 1532
# '.' are mandatory inputs that should be replaced by specifications or the line should be removed. 
# 'nan' are optional input.
# Units for columns are in the order: 
# [V]	[m]	[A]	[L/min]	[W]	[no unit]
voltage	tdh	current	flow	power	efficiency
30	0.0	3.8	63.4	115	0
30	1.4	3.9	59.9	116	12
30	2.8	4.0	55.4	119	21
30	4.2	4.1	50.6	122	29
30	5.6	4.1	45.0	123	34
30	7.0	4.0	38.4	119	37
30	8.5	3.8	30.3	114	37
30	9.9	3.5	18.6	104	29
30	11.3	2.9	0.0	87	0
45	0.0	6.6	93.2	296	0
45	1.4	6.6	90.2	296	7
45	2.8	6.7	86.9	299	13
45	4.2	6.8	83.7	305	19
45	5.6	6.9	80.2	309	24
45	7.0	7.0	76.5	313	28
45	8.5	7.1	73.2	319	32
45	9.9	7.1	69.4	319	35
45	11.3	7.1	65.4	319	38
45	12.7	7.0	61.2	317	40
45	14.1	6.9	56.2	312	41
45	15.5	6.8	51.4	308	42
45	16.9	6.6	45.9	299	42
45	18.3	6.4	39.4	288	41
45	19.7	6.1	32.3	276	38
45	21.1	5.8	21.7	261	29
45	23.2	5.3	0.0	238	0
60	0.0	9.8	119.6	587	0
60	1.4	9.8	117.1	587	5
60	2.8	9.8	114.5	587	9
60	4.2	9.9	112.0	594	13
60	5.6	10.0	109.5	600	17
60	7.0	10.1	106.8	608	20
60	8.5	10.2	104.2	613	23
60	9.9	10.4	101.4	621	26
60	11.3	10.5	98.7	628	29
60	12.7	10.5	95.9	631	31
60	14.1	10.6	92.8	635	34
60	15.5	10.6	89.7	637	36
60	16.9	10.6	86.5	638	37
60	18.3	10.6	83.3	637	39
60	19.7	10.6	80.1	633	41
60	21.1	10.5	76.7	630	42
60	22.5	10.4	73.0	626	43
60	23.9	10.3	69.0	615	44
60	25.4	10.1	64.9	608	44
60	26.8	10.0	60.8	598	44
60	28.2	9.8	56.2	586	44
60	29.6	9.5	51.6	572	44
60	31.0	9.2	46.3	554	42
60	32.4	9.0	40.8	542	40
60	33.8	8.7	34.3	521	36
60	35.2	8.4	27.3	505	31
60	36.6	8.0	19.2	479	24
60	38.0	7.5	10.8	449	15
60	39.4	7.0	0.0	419	0
