PUMP NAME: SCS_20_90_120Y_BL
PRICE: 1498
# '.' are mandatory inputs that should be replaced by specifications or the line should be removed. 
# 'nan' are optional input.
# Units for columns are in the order: 
# [V]	[m]	[A]	[L/min]	[W]	[no unit]
voltage	tdh	current	flow	power	efficiency
75	0.0	3.74	96.0	281	0
75	3.5	3.76	86.6	282	18
75	7.0	3.68	76.2	276	32
75	10.6	3.51	62.6	263	41
75	14.1	3.06	39.3	230	39
75	16.9	2.15	0.0	161	0
90	0.0	4.7	113.9	427	0
90	3.5	4.7	105.9	426	14
90	7.0	4.7	96.9	423	26
90	10.6	4.6	86.3	417	36
90	14.1	4.4	72.8	394	42
90	17.6	4.0	56.7	364	45
90	21.1	3.5	32.0	311	36
90	23.9	2.7	0.0	243	0
105	0.0	5.8	127.6	607	0
105	3.5	5.8	121.3	607	11
105	7.0	5.8	114.5	606	22
105	10.6	5.7	106.1	603	30
105	14.1	5.6	96.5	590	38
105	17.6	5.5	85.3	574	43
105	21.1	5.2	71.7	542	46
105	24.6	4.7	55.2	498	45
105	28.2	4.2	31.6	436	33
105	31.0	3.2	0.0	339	0
120	0.0	6.8	142.6	821	0
120	3.5	6.9	136.8	822	10
120	7.0	6.9	130.0	823	18
120	10.6	6.8	122.6	820	26
120	14.1	6.8	114.8	810	33
120	17.6	6.7	106.2	800	38
120	21.1	6.5	96.6	780	43
120	24.6	6.3	85.2	751	46
120	28.2	6.0	72.4	714	47
120	31.7	5.6	57.4	666	45
120	35.2	5.1	37.6	606	36
120	39.4	4.0	0.0	474	0
