PUMP NAME: SCS_75_250_120Y_BL
# '.' are mandatory inputs that should be replaced by specifications or the line should be removed. 
# 'nan' are optional input.
# Units for columns are in the order: 
# [V]	[m]	[A]	[L/min]	[W]	[no unit]
voltage	tdh	current	flow	power	efficiency
60	0	3.21	31.9	193	0
60	7	3.29	28.3	197	17
60	14.1	3.33	24.3	200	28
60	21.1	3.32	18.9	199	33
60	28.2	3.14	10	188	24
60	34.5	2.66	0	160	0
75	0	4.16	38.2	312	0
75	7	4.32	35.5	324	0.13
75	14.1	4.35	32.3	326	0.23
75	21.1	4.37	29	328	0.31
75	28.2	4.39	25	329	0.35
75	35.2	4.32	19.5	324	0.35
75	42.3	4.14	11.5	311	0.25
75	49.3	3.83	0	287	0
90	0	5.3	44.6	477	0
90	7	5.4	42.1	486	10
90	14.1	5.44	39.5	490	19
90	21.1	5.5	36.6	495	26
90	28.2	5.53	33.4	498	31
90	35.2	5.57	30.1	501	35
90	42.3	5.5	26.4	495	37
90	49.3	5.41	22.3	487	37
90	56.3	5.23	17.5	471	34
90	63.4	4.89	10.2	440	24
90	70.4	4.23	0	381	0
105	0	6.59	51	692	0
105	7	6.47	48.8	679	8
105	14.1	6.55	46.3	688	15
105	21.1	6.62	43.7	695	22
105	28.2	6.65	41	698	27
105	35.2	6.73	38.4	707	31
105	42.3	6.78	35.4	712	34
105	49.3	6.75	32.5	709	37
105	56.3	6.61	29.2	694	39
105	63.4	6.53	25.4	686	38
105	70.4	6.35	20.8	667	36
105	77.5	6.12	14.8	643	29
105	84.5	5.81	5.5	610	12
105	88	5.23	0	549	0
120	0	7.59	56.5	911	0
120	7	7.67	54.6	920	7
120	14.1	7.74	52.6	929	13
120	21.1	7.81	50.4	937	19
120	28.2	7.89	48	947	23
120	35.2	7.93	45.5	952	27
120	42.3	7.99	43	959	31
120	49.3	8.02	40.4	962	34
120	56.3	8.02	37.5	962	36
120	63.4	7.95	34.6	954	37
120	70.4	7.89	31.4	947	38
120	77.5	7.76	28.4	931	39
120	84.5	7.59	25.1	911	38
120	91.6	7.36	21.1	883	36
120	98.6	7.12	16.6	854	31
120	105.6	6.74	10.3	809	22
120	112.7	6.35	1.9	762	5
120	114.1	5.81	0	697	0
