PUMP NAME: SCS_8_500_180_BL
PRICE: 2020
# '.' are mandatory inputs that should be replaced by specifications or the line should be removed. 
# 'nan' are optional input.
# Units for columns are in the order: 
# [V]	[m]	[A]	[L/min]	[W]	[no unit]
voltage	tdh	current	flow	power	efficiency	
120	0	5.6	40	673	0	
120	14.1	5.8	37.4	695	0.12	
120	28.2	5.9	34.9	710	0.23	
120	42.3	6.1	31.8	727	0.3	
120	56.3	6.1	28.3	737	0.35	
120	70.4	6.1	24	733	0.38	
120	84.5	5.9	19.5	712	0.38	
120	98.6	5.6	13.5	670	0.32	
120	112.7	4.9	6.3	583	0.2	
120	121.8	4.1	0	497	0	
135	0	6.7	44.8	907	0	
135	14.1	6.9	42.4	925	0.11	
135	28.2	7	39.8	946	0.19	
135	42.3	7.1	37.2	957	0.27	
135	56.3	7.2	34.1	969	0.32	
135	70.4	7.2	30.8	977	0.36	
135	84.5	7.2	26.9	968	0.38	
135	98.6	7	22.8	948	0.39	
135	112.7	6.7	17.9	909	0.36	
135	126.8	6.4	11.6	861	0.28	
135	145.8	5.4	0	730	0	
150	0	7.8	49.6	1163	0	
150	14.1	7.9	47.4	1187	0.09	
150	28.2	8.1	45.2	1211	0.17	
150	42.3	8.2	42.7	1232	0.24	
150	56.3	8.3	39.9	1251	0.29	
150	70.4	8.5	36.7	1268	0.33	
150	84.5	8.5	33.5	1275	0.36	
150	98.6	8.5	29.8	1272	0.38	
150	112.7	8.4	25.8	1254	0.38	
150	126.8	8.1	21.3	1221	0.36	
150	140.9	8	15.7	1193	0.3	
150	154.9	7.8	9	1164	0.2	
150	170.4	6.4	0	963	0	
165	0	9.2	54.2	1518	0	
165	14.1	9.3	52.1	1538	0.08	
165	28.2	9.4	49.7	1551	0.15	
165	42.3	9.6	47.5	1579	0.21	
165	56.3	9.7	45.2	1602	0.26	
165	70.4	9.8	42.5	1609	0.3	
165	84.5	9.8	39.6	1620	0.34	
165	98.6	9.8	36.3	1622	0.36	
165	112.7	9.8	32.9	1619	0.37	
165	126.8	9.7	29.1	1605	0.37	
165	140.9	9.6	25	1586	0.36	
165	154.9	9.4	20.3	1554	0.33	
165	169	9.3	15.3	1530	0.28	
165	183.1	9.1	9.3	1503	0.19	
165	197.2	8.3	2.9	1373	0.07	
165	202.8	7.5	0	1241	0	
180	0	10.3	58.2	1845	0	
180	14.1	10.4	56.4	1865	0.07	
180	28.2	10.5	54.4	1892	0.13	
180	42.3	10.7	52.3	1919	0.19	
180	56.3	10.8	50	1946	0.24	
180	70.4	11	47.7	1973	0.28	
180	84.5	11.1	45.3	1998	0.31	
180	98.6	11.2	42.5	2016	0.34	
180	112.7	11.2	39.6	2023	0.36	
180	126.8	11.5	36.5	2077	0.36	
180	140.9	11.6	33.2	2084	0.37	
180	154.9	11.5	29.3	2075	0.36	
180	169	11.3	25.2	2039	0.34	
180	183.1	11.2	20.7	2021	0.31	
180	197.2	10.9	15.5	1967	0.25	
180	211.3	10.5	10.2	1894	0.19	
180	225.4	9.6	4.4	1726	0.09	
180	234.5	8.7	0	1564	0	
