PUMP NAME: shurflo_9325
# '.' are mandatory inputs that should be replaced by specifications or the line should be removed. 
# 'nan' are optional input.
# Units for columns are in the order: 
# [V]	[m]	[A]	[L/min]	[W]	[no unit]
voltage	tdh	current	flow	power	efficiency
12	6.1	1.2	212	14.4	nan
12	12.2	1.5	204	18.0	nan
12	18.3	1.8	197	21.6	nan
12	24.4	2.0	189	24.0	nan
12	30.5	2.1	186	25.2	nan
12	36.6	2.4	178	28.8	nan
12	42.7	2.7	174	32.4	nan
12	48.8	3.0	166	36.0	nan
12	54.9	3.3	163	39.6	nan
12	61.0	3.4	155	40.8	nan
12	70.1	3.9	136	46.8	nan
24	6.1	1.5	443	36.0	nan
24	12.2	1.7	432	40.8	nan
24	18.3	2.1	413	50.4	nan
24	24.4	2.4	401	57.6	nan
24	30.5	2.6	390	62.4	nan
24	36.6	2.8	382	67.2	nan
24	42.7	3.1	375	74.4	nan
24	48.8	3.3	371	79.2	nan
24	54.9	3.6	352	86.4	nan
24	61.0	3.8	345	91.2	nan
24	70.1	4.1	310	98.4	nan
