year;month;day;hour;minute;temp_air;relative_humidity;atmospheric_pressure;ghi;dni;dhi;wind_direction;wind_speed;precipitable_water
1995;1;1;1;0;-18;85;83700;0;0;0;0;0;30
1995;1;1;2;0;-16.6;83;83500;0;0;0;0;0;30
1995;1;1;3;0;-15.3;85;83400;0;0;0;0;0;30
1995;1;1;4;0;-14.4;90;83100;0;0;0;0;0;30
1995;1;1;5;0;-13;86;83400;0;0;0;0;0;20
1995;1;1;6;0;-11.1;88;83000;0;0;0;0;0;20
1995;1;1;7;0;-9.7;84;82900;0;0;0;0;0;20
1995;1;1;8;0;-7.7;82;82800;9;17;8;120;1.4;20
1995;1;1;9;0;-5.9;80;82900;89;73;77;140;1.3;20
1995;1;1;10;0;-2.2;66;82700;266;494;115;200;1.7;20
1995;1;1;11;0;1.4;50;82400;357;544;139;310;1.7;20
1995;1;1;12;0;2.8;42;82300;430;540;187;20;4.6;20
1995;1;1;13;0;4.4;34;82300;362;384;189;20;7.2;20
1995;1;1;14;0;3.3;37;82200;342;524;130;10;8.2;20
1995;1;1;15;0;3.9;35;82200;252;312;154;10;7.7;20
1995;1;1;16;0;2.2;36;82100;131;369;62;10;6.2;20
1995;1;1;17;0;-0.6;54;82000;18;114;11;20;3.6;20
1995;1;1;18;0;-2.2;62;82100;0;0;0;10;6.2;20
1995;1;1;19;0;-5;68;82100;0;0;0;350;5.7;20
1995;1;1;20;0;-5.6;65;82100;0;0;0;360;5.2;20
1995;1;1;21;0;-6.1;64;82000;0;0;0;350;2.1;20
1995;1;1;22;0;-6.1;64;82100;0;0;0;20;2.6;20
1995;1;1;23;0;-6.1;55;82300;0;0;0;10;4.1;20
1995;1;1;24;0;-5;50;81900;0;0;0;10;8.8;20
1995;1;2;1;0;-5;48;81900;0;0;0;20;8.8;20
1995;1;2;2;0;-5.6;46;82000;0;0;0;20;7.2;20
1995;1;2;3;0;-5;41;81900;0;0;0;20;7.2;20
1995;1;2;4;0;-6.7;48;81900;0;0;0;20;6.7;20
1995;1;2;5;0;-5.6;43;82400;0;0;0;360;3.6;20
1995;1;2;6;0;-6.1;45;81900;0;0;0;10;3.1;20
1995;1;2;7;0;-4.4;37;81900;0;0;0;50;3.1;20
1995;1;2;8;0;-2.8;34;82000;15;63;12;40;1.5;20
1995;1;2;9;0;-1.7;36;82300;85;118;64;110;2.1;30
1995;1;2;10;0;2.2;30;82400;236;373;122;140;2.1;30
1995;1;2;11;0;5.6;25;82400;392;744;94;130;2.6;30
1995;1;2;12;0;8.9;15;82400;350;349;193;160;2.1;30
1995;1;2;13;0;9.4;16;82400;325;469;113;180;2.6;30
1995;1;2;14;0;9.4;19;82300;285;143;226;140;2.6;30
1995;1;2;15;0;10;25;82300;260;368;144;150;3.1;30
1995;1;2;16;0;7.8;25;82300;109;249;62;140;3.1;30
1995;1;2;17;0;6.7;26;82100;21;102;15;150;2.6;30
1995;1;2;18;0;5;30;82100;0;0;0;170;3.6;30
1995;1;2;19;0;1.1;39;82300;0;0;0;150;3.6;30
1995;1;2;20;0;0;43;82200;0;0;0;180;3.6;30
1995;1;2;21;0;-1.7;46;82200;0;0;0;190;4.1;30
1995;1;2;22;0;-1.1;38;82100;0;0;0;150;2.1;30
1995;1;2;23;0;0.6;30;82400;0;0;0;0;0;30
1995;1;2;24;0;0;32;82100;0;0;0;230;2.6;30
1995;1;3;1;0;-0.6;33;82100;0;0;0;210;3.6;30
1995;1;3;2;0;-0.6;33;82100;0;0;0;210;5.2;30
1995;1;3;3;0;-1.1;35;82200;0;0;0;220;5.2;40
1995;1;3;4;0;-1.7;36;82400;0;0;0;220;5.7;40
1995;1;3;5;0;-1.7;36;82800;0;0;0;230;6.2;40
1995;1;3;6;0;-1.1;33;82600;0;0;0;210;7.2;40
1995;1;3;7;0;-1.1;35;82700;0;0;0;240;5.7;40
1995;1;3;8;0;-0.6;35;82800;14;24;12;250;6.7;40
1995;1;3;9;0;3.3;25;83000;79;146;53;210;4.6;30
1995;1;3;10;0;5.6;23;83200;192;256;113;210;5.2;30
1995;1;3;11;0;6.1;32;83500;325;587;90;290;1.5;30
1995;1;3;12;0;6.7;22;83300;450;783;98;250;7.7;30
1995;1;3;13;0;5.6;29;83400;426;757;83;280;9.3;30
1995;1;3;14;0;4.6;27;83400;362;675;86;300;11.1;30
1995;1;3;15;0;2.3;32;83400;254;460;107;280;7.4;30
1995;1;3;16;0;-0.3;38;83500;118;173;84;260;6.7;30
1995;1;3;17;0;-3;42;83600;22;15;21;230;4.6;30
1995;1;3;18;0;-5.8;58;83500;0;0;0;240;2.8;30
1995;1;3;19;0;-5.6;48;83500;0;0;0;230;1.6;30
1995;1;3;20;0;-7.2;64;83500;0;0;0;200;0.4;30
1995;1;3;21;0;-8.8;65;83200;0;0;0;220;0.8;30
1995;1;3;22;0;-9.9;67;83300;0;0;0;210;1.6;30
1995;1;3;23;0;-11.4;71;83600;0;0;0;170;1.5;30
1995;1;3;24;0;-12.4;81;83200;0;0;0;200;1.8;30
1995;1;4;1;0;-13.5;88;83200;0;0;0;270;0.2;30
1995;1;4;2;0;-16.2;90;83200;0;0;0;0;0;30
1995;1;4;3;0;-16.2;86;83200;0;0;0;170;1.5;30
1995;1;4;4;0;-14.7;82;83200;0;0;0;130;2.6;30
1995;1;4;5;0;-14.2;80;83600;0;0;0;150;1.5;30
1995;1;4;6;0;-13.3;76;83400;0;0;0;130;1.5;30
1995;1;4;7;0;-11.8;65;83400;0;0;0;0;0;30
1995;1;4;8;0;-9.1;64;83300;14;139;7;0;0;30
1995;1;4;9;0;-5.9;56;83700;59;156;32;0;0;30
1995;1;4;10;0;-0.5;42;83700;127;148;81;180;1.5;30
1995;1;4;11;0;3.3;36;83500;152;0;152;210;2.1;30
1995;1;4;12;0;3.8;38;83600;174;0;174;0;0;30
1995;1;4;13;0;8;32;83600;140;0;140;350;3.6;30
1995;1;4;14;0;9.6;31;83500;125;0;125;10;4.1;40
1995;1;4;15;0;11.1;29;83500;105;53;88;360;3.6;40
1995;1;4;16;0;10;31;83300;44;59;33;300;7.2;40
1995;1;4;17;0;7.2;42;83000;20;53;17;0;0;40
1995;1;4;18;0;7.2;40;83000;0;0;0;80;3.1;40
1995;1;4;19;0;6.1;37;83000;0;0;0;180;3.6;40
