DATE (MM/DD/YYYY),HOUR-MST,Avg Global PSP [W/m^2],Avg Direct NIP [W/m^2],Avg Diffuse SB PSP [W/m^2],Avg Avg Wind Speed @ 33ft [m/s],Avg Roof Temp [deg C]
1/1/1994,1,-2.4027,-0.1639,-2.8794,2.9520,3.0901
1/1/1994,2,-3.8213,-0.9497,-4.1406,1.7415,2.9896
1/1/1994,3,-3.0103,-0.4644,-3.0554,1.7625,1.9669
1/1/1994,4,-2.4000,-0.4869,-2.3873,1.0867,1.7062
1/1/1994,5,-2.3796,-0.7606,-2.4407,1.7978,0.8875
1/1/1994,6,-3.1415,-0.7408,-3.0980,1.7323,-1.4201
1/1/1994,7,-2.7530,-0.8201,-3.0948,1.5139,-1.2303
1/1/1994,8,13.8850,84.6578,9.8747,2.0579,-0.9155
1/1/1994,9,41.3823,1.0231,38.4473,1.8712,1.3115
1/1/1994,10,109.8712,8.2134,98.6096,1.6480,3.1173
1/1/1994,11,372.5608,641.7927,101.0111,1.9578,5.8156
1/1/1994,12,448.7133,878.0875,52.0960,2.0892,7.0442
1/1/1994,13,441.5813,781.0833,85.9768,2.4174,9.1431
1/1/1994,14,307.3425,251.7557,183.2858,5.2101,9.8808
1/1/1994,15,322.8817,484.5236,166.3345,5.7229,10.9078
1/1/1994,16,168.5233,633.7008,43.6507,3.2021,9.9204
1/1/1994,17,19.3834,8.8281,17.0612,3.6639,7.9380
1/1/1994,18,-2.8479,0.6865,-3.1706,3.7002,8.0680
1/1/1994,19,-2.8026,0.4857,-3.0050,6.5364,9.7797
1/1/1994,20,-3.0216,0.1590,-3.4299,5.1208,9.8730
1/1/1994,21,-4.0527,-0.0669,-4.4857,2.7962,9.2896
1/1/1994,22,-3.4961,0.0819,-3.5336,5.6259,8.7258
1/1/1994,23,-4.1513,-0.2346,-4.4518,2.3417,7.7847
1/2/1994,0,-2.6526,-0.4091,-2.9500,3.3363,7.3165
1/2/1994,1,-2.5112,-0.5243,-2.6465,5.4882,6.5944
1/2/1994,2,-2.1649,-0.5200,-2.1899,8.3132,4.6170
1/2/1994,3,-2.0129,-0.3015,-2.1635,9.1682,3.5517
1/2/1994,4,-1.4844,-0.4494,-1.8283,15.2362,3.6976
1/2/1994,5,-1.4589,-0.3396,-1.8334,14.9511,2.9314
1/2/1994,6,-1.2916,-0.1719,-1.7370,14.4228,2.8452
1/2/1994,7,-1.9609,-0.5989,-2.2171,8.6662,2.7197
1/2/1994,8,16.8908,116.5364,7.1590,3.9719,2.1520
1/2/1994,9,148.1038,659.7708,30.2412,3.1602,3.0788
1/2/1994,10,299.8500,852.2167,41.9334,6.1973,4.0487
1/2/1994,11,419.1542,927.6525,48.6284,7.6095,4.4236
1/2/1994,12,485.6192,959.9075,53.7904,10.7343,4.1880
1/2/1994,13,489.5558,966.5858,52.6741,10.6610,4.1868
1/2/1994,14,435.3833,941.0717,49.8015,10.4776,3.8778
1/2/1994,15,322.5800,882.1317,43.4397,9.9554,3.8930
1/2/1994,16,173.6764,719.4975,33.2083,9.8121,3.6501
1/2/1994,17,26.8995,157.4093,11.4130,8.4376,2.7198
1/2/1994,18,-3.0990,0.1425,-3.1034,5.3925,2.0402
1/2/1994,19,-3.0013,0.3680,-2.9974,5.4408,1.9265
1/2/1994,20,-3.1238,0.4066,-3.4148,4.1831,1.9130
1/2/1994,21,-3.1989,0.4735,-3.4249,3.9880,2.0735
1/2/1994,22,-2.8595,0.2834,-2.8312,4.1436,2.4236
1/2/1994,23,-2.0461,0.8501,-2.4565,3.7978,3.4830
1/3/1994,0,-4.1562,-0.8554,-4.2125,2.3329,2.7347
1/3/1994,1,-4.0814,-0.5533,-4.2733,0.9088,1.9864
1/3/1994,2,-3.2235,-0.3819,-3.8917,1.6055,1.7205
1/3/1994,3,-2.4227,-0.0396,-3.3539,1.1035,2.6787
1/3/1994,4,-3.3062,-0.3868,-3.8537,2.1448,1.2499
1/3/1994,5,-0.7754,0.8394,-1.6271,4.0931,5.2068
1/3/1994,6,-2.6741,-0.5764,-2.8916,6.7672,6.8566
1/3/1994,7,-1.8054,-0.2341,-1.9789,10.6192,6.5587
1/3/1994,8,15.3061,35.0193,11.6313,8.1966,6.5757
1/3/1994,9,99.6188,48.5892,81.6907,9.1651,6.7879
1/3/1994,10,286.9508,495.9407,113.6672,4.9955,8.6806
1/3/1994,11,264.1242,358.6294,101.0986,3.8045,9.2660
1/3/1994,12,256.1267,331.3942,76.4986,9.0759,9.0367
1/3/1994,13,504.4767,841.5092,106.0509,7.0446,9.0299
1/3/1994,14,430.8983,762.6258,104.5574,5.7767,8.4641
1/3/1994,15,326.2658,874.6542,45.5153,7.8182,8.4459
1/3/1994,16,173.7274,691.6467,34.1939,8.5074,7.7820
1/3/1994,17,19.1334,71.5002,10.6732,9.4887,7.0861
1/3/1994,18,-2.0081,-0.0311,-2.2591,9.3249,6.5935
1/3/1994,19,-2.0619,0.2485,-2.2395,8.6439,6.1833
1/3/1994,20,-4.2081,-1.1429,-4.0361,4.0052,3.0868
1/3/1994,21,-4.1264,-0.1462,-4.2638,1.4987,0.7019
1/3/1994,22,-3.3506,-0.2598,-3.9902,2.2056,0.1394
1/3/1994,23,-3.6313,-0.7944,-4.0214,1.7066,-1.0476
1/4/1994,0,-3.7041,-0.5678,-4.0653,1.1957,-1.8604
1/4/1994,1,-2.7570,-0.2057,-3.2561,2.1396,-2.0749
1/4/1994,2,-2.7395,-0.2630,-3.3158,2.6098,-2.0156
1/4/1994,3,-2.5535,-0.2437,-3.0866,3.0520,-1.9771
1/4/1994,4,-2.5753,-0.3096,-3.2276,2.8303,-1.9867
1/4/1994,5,-2.6124,-0.3541,-3.1647,2.9152,-2.0314
1/4/1994,6,-2.2428,-0.1270,-2.8091,3.5962,-1.8610
1/4/1994,7,-3.1537,-0.5726,-3.5617,1.8933,-1.7902
1/4/1994,8,20.6127,188.0588,8.8402,1.8148,-1.8049
1/4/1994,9,157.1252,664.3625,38.2594,1.1646,-0.5382
1/4/1994,10,254.9317,460.7313,91.7480,1.1249,2.9560
1/4/1994,11,230.2358,169.1677,148.0458,2.7061,5.6904
1/4/1994,12,250.7983,115.3548,177.6578,1.8251,5.4330
1/4/1994,13,519.2917,750.1367,158.4592,1.7809,10.0960
1/4/1994,14,201.5133,33.6824,171.7633,2.6657,8.5811
1/4/1994,15,150.1367,7.0093,137.3142,3.2794,11.0501
1/4/1994,16,201.3992,556.9043,91.0946,3.8787,11.4843
1/4/1994,17,42.7166,134.5067,27.9398,4.7328,11.2061
1/4/1994,18,-2.9993,0.1751,-3.1281,4.8263,11.0872
1/4/1994,19,-3.4424,0.0321,-3.4999,4.4099,11.6743
1/4/1994,20,-4.3238,-0.1152,-4.5626,2.2959,10.7592
1/4/1994,21,-3.3045,0.4800,-3.6996,3.7372,10.6432
1/4/1994,22,-2.9406,0.3568,-3.1435,6.6254,11.1609
1/4/1994,23,-3.0629,0.1055,-3.3114,5.7501,11.2935
1/5/1994,0,-2.3074,-0.2995,-2.2717,8.0275,11.1448
1/5/1994,1,-2.3802,-0.3826,-2.3715,6.6370,10.6823
1/5/1994,2,-2.6874,-0.1018,-3.1408,5.8174,10.6643
1/5/1994,3,-3.0279,-0.2738,-3.6929,3.9794,11.5316
1/5/1994,4,-3.6004,-0.3799,-4.2069,3.0639,11.6033
1/5/1994,5,-3.2562,-0.7352,-3.4401,5.6200,10.6470
1/5/1994,6,-2.7335,-0.6666,-2.8405,7.3333,9.0447
1/5/1994,7,-2.6731,-0.5798,-2.7153,5.9771,8.4053
1/5/1994,8,8.0472,-0.2808,7.3460,2.3995,8.0939
1/5/1994,9,87.2320,203.1345,37.4832,2.8246,8.5447
1/5/1994,10,311.1758,753.0683,73.4807,5.6663,10.9449
1/5/1994,11,378.9100,653.8344,106.9825,9.2992,11.2070
1/5/1994,12,471.9758,873.1400,72.7561,7.4145,11.5078
1/5/1994,13,462.5800,828.5675,76.5685,6.0358,11.6382
1/5/1994,14,191.5701,196.3584,93.2777,6.7831,10.3113
1/5/1994,15,195.7307,209.2669,112.5390,7.4860,7.9886
1/5/1994,16,69.6114,1.5126,65.2917,8.5591,5.3337
1/5/1994,17,18.2079,-0.3219,16.5078,10.3307,3.8728
1/5/1994,18,-1.2357,-0.0262,-1.4540,11.9188,2.3742
1/5/1994,19,-1.7091,-0.0380,-1.8601,9.9059,1.8033
1/5/1994,20,-1.5747,0.2111,-1.8800,7.2264,1.7482
1/5/1994,21,-3.1615,-0.2052,-3.4386,4.2191,0.7081
1/5/1994,22,-3.0278,0.2690,-3.4030,4.7398,0.2347
1/5/1994,23,-2.2224,-0.0332,-2.2797,7.9903,0.1059
1/6/1994,0,-2.9617,-0.5381,-3.0531,5.6544,-0.5093
1/6/1994,1,-2.4391,-0.3146,-2.4989,7.4690,-0.5422
1/6/1994,2,-2.5700,-0.3703,-2.5918,7.2168,-1.0220
1/6/1994,3,-2.8471,-0.6056,-2.8054,6.7314,-1.5299
1/6/1994,4,-2.3121,-0.3671,-2.3517,8.2439,-1.8192
1/6/1994,5,-1.7855,-0.3012,-1.8853,11.0681,-1.6274
1/6/1994,6,-2.1420,-0.3285,-2.3079,4.9340,-1.6433
1/6/1994,7,-1.3513,-0.4025,-1.8162,5.5820,-1.3601
1/6/1994,8,6.2338,-0.2412,5.7169,6.9582,-1.3966
1/6/1994,9,39.8797,-0.0606,37.8951,5.5836,-1.2859
1/6/1994,10,101.9126,0.4920,98.4508,2.3871,-1.4590
1/6/1994,11,162.8058,3.7269,154.2425,1.8485,-1.0232
1/6/1994,12,355.3175,231.5492,220.6050,2.1890,-0.4361
1/6/1994,13,371.5492,290.1908,197.0350,6.0514,0.6533
1/6/1994,14,294.8575,192.9208,179.6217,7.2269,0.8035
1/6/1994,15,208.0850,161.3639,140.1550,6.2442,0.8292
1/6/1994,16,170.1736,411.6642,78.1505,6.8351,0.5758
1/6/1994,17,30.7536,135.1996,14.8839,5.0946,-0.9108
1/6/1994,18,-2.7472,-0.0455,-3.0825,5.1557,-2.0383
1/6/1994,19,-2.5701,0.3970,-2.7522,6.5742,-2.2234
1/6/1994,20,-2.6203,-0.2840,-2.5503,6.6689,-3.1714
1/6/1994,21,-1.7107,-0.4104,-1.6357,4.9578,-6.1212
1/6/1994,22,-1.9322,-0.1302,-1.9961,1.8489,-7.0394
1/6/1994,23,-1.7773,-0.4072,-1.6417,3.3416,-8.9164
1/7/1994,0,-2.5576,-0.1624,-2.6461,0.7051,-9.4078
1/7/1994,1,-3.2285,0.8279,-3.7052,1.9498,-7.8136
1/7/1994,2,-2.9135,-0.0359,-3.5336,6.1924,-4.2917
1/7/1994,3,-3.3050,-0.5503,-3.6035,3.2557,-4.4504
1/7/1994,4,-3.9350,-0.8161,-3.7465,3.1428,-8.6186
1/7/1994,5,-3.0345,-0.4426,-3.3652,1.7596,-8.7945
1/7/1994,6,-1.0021,0.7813,-2.2274,2.1237,-4.5912
1/7/1994,7,-2.0079,-0.4072,-2.3481,7.2478,-3.0866
1/7/1994,8,19.4559,102.7754,12.8916,8.3049,-2.3974
1/7/1994,9,110.2364,190.8490,62.4049,6.4399,-1.6178
1/7/1994,10,286.8967,660.4683,73.6677,3.1550,-0.0190
1/7/1994,11,396.4383,666.8033,111.8408,3.0342,1.5728
1/7/1994,12,358.8558,449.6992,128.3289,2.0730,2.8011
1/7/1994,13,262.7858,84.8233,198.9683,2.3946,3.3370
1/7/1994,14,139.9284,0.8790,130.4663,3.7136,3.3188
1/7/1994,15,178.1443,184.5233,101.3474,4.7139,3.9118
1/7/1994,16,57.4459,21.1005,47.4164,2.5487,4.2749
1/7/1994,17,33.9957,156.2156,16.1921,5.9474,5.2573
1/7/1994,18,-2.6588,0.0900,-2.6204,3.3354,4.6095
1/7/1994,19,-3.6768,-0.6294,-3.8932,1.8404,2.9954
1/7/1994,20,-2.9853,-0.3021,-3.1183,2.0052,2.2076
1/7/1994,21,-2.1538,0.4023,-2.2978,1.7677,2.5599
1/7/1994,22,-1.5643,0.5351,-1.9218,2.5747,3.6530
1/7/1994,23,-3.4004,-0.7462,-3.5331,1.3411,3.0281
1/8/1994,0,-2.5990,-0.3589,-2.9539,1.7223,2.3576
1/8/1994,1,-1.9214,0.0605,-2.2413,2.6399,2.5165
1/8/1994,2,-1.3728,-0.1950,-1.7719,6.6177,4.5656
1/8/1994,3,-4.2389,-0.5769,-4.2241,1.3751,2.7475
1/8/1994,4,-3.3323,-0.7532,-3.6151,3.0458,2.7351
1/8/1994,5,-4.6545,-1.1201,-4.6769,1.3832,1.3967
1/8/1994,6,-3.8359,-0.8892,-3.9224,1.7550,-0.2106
1/8/1994,7,-2.7275,-0.6932,-3.0047,2.8597,0.4795
1/8/1994,8,32.5282,171.7670,19.9970,1.7623,1.2225
1/8/1994,9,96.2192,205.6497,62.0387,1.2363,2.0549
1/8/1994,10,245.7442,393.2211,126.3942,1.9659,4.8262
1/8/1994,11,186.0042,16.0926,165.3317,1.9442,4.8349
1/8/1994,12,394.2200,257.6961,244.0950,2.7899,5.4017
1/8/1994,13,456.2083,705.3000,108.4738,3.1375,7.3317
1/8/1994,14,423.5317,768.2175,87.5079,2.5725,8.1280
1/8/1994,15,351.1408,685.7517,112.5583,2.6711,8.1380
1/8/1994,16,163.5154,371.6992,71.6754,2.6503,7.9170
1/8/1994,17,26.1137,54.7228,18.2486,2.3452,5.5795
1/8/1994,18,-3.3792,-0.1665,-3.4637,2.6597,2.5481
1/8/1994,19,-3.8393,-0.1810,-4.1443,1.5731,1.9814
1/8/1994,20,-4.6253,-0.4618,-4.5880,0.7832,1.0168
