DATE (MM/DD/YYYY),HOUR-MST,Avg Global PSP [W/m^2],Avg Direct NIP [W/m^2],Avg Diffuse SB PSP [W/m^2],Avg Avg Wind Speed @ 33ft [m/s],Avg Roof Temp [deg C]
1/1/1997,1,-4.8492,-1.5650,-4.9720,4.5896,14.4425
1/1/1997,2,-4.7365,-0.4190,-4.4757,2.2374,8.3134
1/1/1997,3,-3.3826,-0.8203,-3.3413,3.5786,8.9512
1/1/1997,4,-3.4416,-0.7555,-3.4990,3.7812,10.1061
1/1/1997,5,-4.0128,-1.0631,-3.7304,3.1686,10.3455
1/1/1997,6,-4.0549,-1.0379,-4.0950,3.3594,10.3562
1/1/1997,7,-4.0735,-0.8648,-4.1064,3.3993,10.6492
1/1/1997,8,10.4122,76.3445,5.6342,2.1805,11.3001
1/1/1997,9,155.2427,497.1358,65.7679,2.9224,12.6514
1/1/1997,10,217.2733,141.0638,155.4687,1.7146,15.6315
1/1/1997,11,204.2700,9.4963,189.1208,1.8610,15.7968
1/1/1997,12,199.4517,4.7234,189.4258,0.7796,16.3777
1/1/1997,13,206.8958,5.2328,195.6000,1.4703,17.3747
1/1/1997,14,233.4558,37.5799,202.5408,1.2549,19.5858
1/1/1997,15,156.2525,15.5170,142.6742,3.6564,17.8274
1/1/1997,16,78.9527,1.5654,74.7080,2.1951,18.6344
1/1/1997,17,9.4998,-0.5765,8.7256,2.1846,18.2583
1/1/1997,18,-4.9537,-0.0332,-4.8528,2.4223,16.9661
1/1/1997,19,-5.7349,-0.5529,-5.4964,1.5604,15.7843
1/1/1997,20,-4.7284,0.0016,-4.6636,2.2295,14.1971
1/1/1997,21,-3.9956,0.4324,-3.8729,3.0320,13.9267
1/1/1997,22,-3.8286,0.2352,-3.8849,3.4980,13.7969
1/1/1997,23,-3.9112,-0.0370,-3.8100,2.1277,12.8717
1/2/1997,0,-3.8741,-0.7195,-3.4187,2.3822,12.9863
1/2/1997,1,-3.9679,-0.7624,-4.0298,2.6977,12.2515
1/2/1997,2,-3.5964,-0.7587,-3.4696,2.7239,12.1988
1/2/1997,3,-2.5193,-0.6408,-2.3789,3.2484,12.1774
1/2/1997,4,-2.3922,-0.5524,-2.5918,5.6939,13.5560
1/2/1997,5,-3.1164,-0.7201,-3.3421,3.9877,14.3880
1/2/1997,6,-3.9811,-1.2329,-4.2289,2.4311,13.6106
1/2/1997,7,-3.0078,-0.5545,-2.8630,0.9158,12.7960
