DATE (MM/DD/YYYY),HOUR-MST,Avg Global PSP [W/m^2],Avg Direct NIP #1 [W/m^2],Avg Diffuse SB PSP [W/m^2],Avg Avg Wind Speed @ 33ft [m/s],Avg Roof Temp [deg C]
1/13/1999,1,-3.3929,-0.6118,-3.6386,2.4081,0.3662
1/13/1999,2,-3.8851,-0.8899,-3.6977,2.9243,0.6178
1/13/1999,3,-3.7571,-0.9200,-3.6722,3.2541,1.6205
1/13/1999,4,-3.9954,-0.6771,-4.3328,2.0197,1.3709
1/13/1999,5,-2.7098,-0.4161,-3.0192,1.8181,1.4322
1/13/1999,6,-1.9383,-0.3314,-2.0844,2.6064,0.3253
1/13/1999,7,-0.7856,-0.1826,-1.2119,3.9347,3.3071
1/13/1999,8,3.6388,39.0526,2.6664,6.8759,5.3693
1/13/1999,9,10.3970,-0.2644,10.3543,7.7280,5.4741
1/13/1999,10,40.2248,-0.5121,43.6130,5.4944,4.7239
1/13/1999,11,118.7290,10.4550,120.1524,2.8732,1.4157
1/13/1999,12,178.4850,1.3012,174.9793,1.8418,2.4936
1/13/1999,13,179.8073,2.0644,176.0575,2.9664,2.5086
1/13/1999,14,182.9090,2.9531,174.2748,2.4175,3.1201
1/13/1999,15,188.2603,68.6009,150.0007,4.0576,3.3128
1/13/1999,16,200.5655,535.5620,71.4157,5.8994,3.4597
1/13/1999,17,39.4664,210.3721,14.9840,3.6283,2.7810
1/13/1999,18,-1.6331,0.0796,-2.0041,10.3058,3.2060
1/13/1999,19,-3.4542,-0.7678,-3.7514,5.8372,1.2939
1/13/1999,20,-4.0601,-0.6119,-4.2623,1.9469,-2.3261
1/13/1999,21,-3.1389,0.0461,-3.3101,0.8609,-3.1366
1/13/1999,22,-2.1926,0.2489,-2.4708,2.1981,-3.7775
1/13/1999,23,-3.7398,0.2680,-3.7352,1.7157,-3.8890
1/14/1999,0,-2.9923,-0.0851,-3.3112,2.7937,-3.6335
1/14/1999,1,-4.8864,-0.3662,-4.7244,3.1126,-2.9279
1/14/1999,2,-7.0906,-0.7910,-7.1001,3.5940,-1.0758
1/14/1999,3,-3.5999,-0.7504,-3.8950,5.7869,0.6660
1/14/1999,4,-2.1726,-0.2577,-2.7658,8.5540,2.4231
1/14/1999,5,-3.5351,-0.6975,-3.9296,6.3278,3.4600
1/14/1999,6,-2.3428,-0.1312,-2.7342,9.1356,4.3066
1/14/1999,7,-3.9753,-0.9123,-4.3631,5.3228,5.3275
1/14/1999,8,38.5317,226.0795,22.8992,7.2175,6.4617
1/14/1999,9,119.2017,198.3304,83.2773,7.7384,8.0280
1/14/1999,10,194.2446,207.1755,114.0981,10.7742,9.9965
1/14/1999,11,125.8797,15.1694,115.0072,11.2035,10.0450
1/14/1999,12,130.7617,0.4658,128.2858,6.2421,10.0612
1/14/1999,13,118.7429,0.4610,116.8951,4.0720,10.7290
1/14/1999,14,168.0478,54.6330,134.6005,8.0982,10.8758
1/14/1999,15,246.9564,259.2027,124.0918,9.3230,11.9102
1/14/1999,16,160.0539,357.4130,65.2209,6.6018,11.2603
1/14/1999,17,34.2269,68.9992,24.9199,3.7029,10.9245
1/14/1999,18,-4.7447,-1.0100,-4.9872,1.1488,9.6858
1/14/1999,19,-2.9076,-0.1717,-3.1320,2.1027,9.6275
1/14/1999,20,-2.9627,0.1254,-3.4081,2.5757,11.1035
1/14/1999,21,-2.9649,-0.3999,-3.6463,2.6617,11.1690
1/14/1999,22,-3.0588,-0.0540,-3.5007,3.5154,11.1825
1/14/1999,23,-2.3148,-0.0166,-2.7945,6.8084,10.5455
1/15/1999,0,-3.5322,-0.8587,-3.7534,2.4508,10.9642
1/15/1999,1,-2.9597,-0.3749,-3.2768,2.6418,9.4475
1/15/1999,2,-1.8575,0.4618,-2.4841,4.7440,10.8945
1/15/1999,3,-2.6257,-0.5057,-2.9883,9.3122,12.8372
1/15/1999,4,-2.0568,-0.5393,-2.4264,15.4977,13.0278
1/15/1999,5,-2.8869,-0.7042,-3.3092,10.3029,12.5193
1/15/1999,6,-4.9175,-1.3533,-5.3573,4.9814,10.1447
1/15/1999,7,-3.0102,-0.4159,-3.6218,6.9078,10.1010
