DATE (MM/DD/YYYY),HOUR-MST,Avg Global PSP [W/m^2],Avg Direct NIP [W/m^2],Avg Diffuse SD PSP [W/m^2],Avg Air Temp [deg C]
8/1/2000,1,-4.5195,0.4314,0.0000,21.2913
8/1/2000,2,-4.7273,0.0598,0.0000,21.0346
8/1/2000,3,-4.1668,0.2571,0.0000,20.8023
8/1/2000,4,-4.2195,0.1485,0.0000,20.6177
8/1/2000,5,-4.0065,-0.0236,0.0000,20.2947
8/1/2000,6,34.5683,93.0810,23.4135,20.6977
8/1/2000,7,178.6760,307.6873,92.2602,22.7572
8/1/2000,8,352.0060,432.9895,152.4790,27.7797
8/1/2000,9,537.9430,550.5603,193.4288,32.7700
8/1/2000,10,727.2137,624.9145,250.7960,35.0380
8/1/2000,11,832.1172,596.1857,318.2055,36.3153
8/1/2000,12,927.2587,668.7022,314.5158,37.6002
8/1/2000,13,920.5993,656.1525,316.0650,37.7761
8/1/2000,14,885.9895,709.1542,263.9747,37.6277
8/1/2000,15,768.1672,680.2540,232.1980,38.8904
8/1/2000,16,600.8602,612.9223,197.5042,38.8427
8/1/2000,17,426.6455,492.2967,180.5087,37.8359
8/1/2000,18,111.8632,104.5568,71.3285,33.7541
8/1/2000,19,18.0047,4.1130,17.1132,29.5423
8/1/2000,20,-5.1948,-0.5561,0.0000,27.0596
8/1/2000,21,-6.6277,0.0411,0.0000,25.8353
8/1/2000,22,-3.4942,0.3855,0.0000,25.3477
8/1/2000,23,-3.5713,-0.4152,0.0000,23.1021
8/2/2000,0,-4.0363,-0.1515,0.0000,22.3581
8/2/2000,1,-2.6195,0.8722,0.0000,23.0989
8/2/2000,2,-5.0937,-0.0870,0.0000,23.1775
8/2/2000,3,-3.8250,0.6116,0.0000,23.7501
8/2/2000,4,-6.0978,-1.1042,0.0000,21.5591
8/2/2000,5,-4.5388,-0.3572,0.0000,18.9683
8/2/2000,6,34.5957,87.1755,24.0150,19.1612
8/2/2000,7,174.8597,331.5107,82.6087,22.3743
8/2/2000,8,340.4015,440.9187,139.4628,26.1376
8/2/2000,9,535.0600,566.0788,181.6558,30.8295
8/2/2000,10,729.8203,676.4940,214.7365,34.1116
8/2/2000,11,871.0440,730.6023,242.2608,35.3125
8/2/2000,12,969.7787,748.5850,285.1292,36.3209
8/2/2000,13,489.3628,194.2997,307.6405,35.9452
8/2/2000,14,479.2777,168.6449,333.2397,33.2164
8/2/2000,15,153.4153,10.8822,141.4852,34.2874
8/2/2000,16,173.6562,-0.1678,173.1300,29.6441
8/2/2000,17,140.7460,-1.2658,140.7460,28.4688
8/2/2000,18,30.6530,-0.9741,30.6487,27.8829
8/2/2000,19,8.2940,0.3555,8.2422,27.1867
8/2/2000,20,-2.3733,0.3032,0.0475,27.6694
8/2/2000,21,-3.2973,-0.2026,0.0000,27.0848
8/2/2000,22,-2.8237,0.2485,0.0000,26.7048
8/2/2000,23,-3.7845,-0.1747,0.0000,25.3954
8/3/2000,0,-3.6068,0.2635,-0.1125,24.9685
8/3/2000,1,-4.0907,-0.1356,-7.7522,24.7549
8/3/2000,2,-3.9258,0.0948,-7.6355,24.0719
8/3/2000,3,-5.1025,-0.9724,-9.6346,21.2433
8/3/2000,4,-3.7643,-0.4419,-8.2612,18.9533
8/3/2000,5,-3.8887,-0.2127,-6.2551,17.6934
8/3/2000,6,27.2132,6.9796,22.0574,17.3542
8/3/2000,7,137.5665,46.1185,111.4062,19.4440
8/3/2000,8,382.5222,301.1614,216.8228,24.8227
8/3/2000,9,423.6420,205.5940,270.1490,29.5025
8/3/2000,10,605.3333,245.4300,367.3328,29.7927
8/3/2000,11,638.3982,245.3102,363.4450,30.6494
8/3/2000,12,943.0630,692.5030,243.2253,33.8900
8/3/2000,13,574.0315,314.4950,235.5487,34.7950
8/3/2000,14,110.2995,-2.4373,99.1510,31.3882
8/3/2000,15,120.3418,-1.8584,105.7641,27.8412
8/3/2000,16,214.5335,3.5407,187.6868,28.2156
8/3/2000,17,149.0837,1.0380,130.7230,29.3978
8/3/2000,18,53.4623,-1.5718,44.0143,27.4877
8/3/2000,19,14.5495,-0.9041,10.8771,25.4637
8/3/2000,20,-4.3083,-0.4131,-7.6339,23.4390
8/3/2000,21,-4.8557,0.1776,-7.2089,23.2152
8/3/2000,22,-4.2560,-0.0459,-8.7055,22.0845
8/3/2000,23,-3.1902,-0.1378,-5.1101,21.8468
8/4/2000,0,-4.3770,-0.0966,-4.5571,21.3389
8/4/2000,1,-3.0512,0.3097,0.0000,20.8972
8/4/2000,2,-3.8278,-0.0101,0.0000,20.3218
8/4/2000,3,-4.0525,0.3127,0.0000,19.7593
8/4/2000,4,-3.5638,0.4334,0.0000,19.9425
8/4/2000,5,-2.9662,0.6691,0.0000,20.5337
8/4/2000,6,24.9007,-0.0393,24.9860,20.4460
8/4/2000,7,104.9265,-0.2204,104.9063,20.1603
8/4/2000,8,374.6692,175.8397,284.3780,25.5639
8/4/2000,9,507.9608,506.9456,202.3157,28.6928
8/4/2000,10,728.3712,546.6121,311.4233,32.2134
8/4/2000,11,877.9463,746.3192,238.4042,34.1084
8/4/2000,12,555.6333,359.6720,229.8710,33.3943
8/4/2000,13,153.1643,15.3774,136.0038,27.8313
8/4/2000,14,169.5905,5.3155,164.4028,24.2616
8/4/2000,15,125.1332,4.4661,119.5668,19.4602
8/4/2000,16,348.3230,216.8116,217.4227,23.9254
8/4/2000,17,311.3112,270.6240,184.7512,31.4750
8/4/2000,18,74.2555,3.0723,71.9230,30.0929
8/4/2000,19,8.8788,-4.1881,9.1385,20.0106
8/4/2000,20,0.3808,0.2681,1.8278,16.5977
8/4/2000,21,-1.2897,0.6508,0.0000,17.9809
8/4/2000,22,-0.2942,0.5089,0.0910,20.1828
8/4/2000,23,-3.2723,0.0826,0.0000,20.4709
8/5/2000,0,-3.0995,0.7683,0.0000,21.6569
8/5/2000,1,-3.0813,0.0000,0.0000,21.9323
8/5/2000,2,-2.5325,0.0000,0.0000,23.2268
8/5/2000,3,-1.9797,0.0000,0.0000,23.5324
8/5/2000,4,-3.5507,0.0000,0.0000,21.3236
8/5/2000,5,-3.6202,0.0000,0.0000,20.2923
8/5/2000,6,28.1008,0.0000,0.0000,19.7570
8/5/2000,7,151.6907,-99999,-99999,21.7896
8/5/2000,8,401.8220,-99999,-99999,26.6518
8/5/2000,9,602.1447,-99999,-99999,32.6426
8/5/2000,10,780.3972,-99999,-99999,35.2132
8/5/2000,11,934.3452,-99999,-99999,33.1545
8/5/2000,12,710.0057,-99999,-99999,33.3781
8/5/2000,13,894.1300,-99999,-99999,33.4225
8/5/2000,14,646.1083,-99999,-99999,33.3807
8/5/2000,15,613.6075,-99999,-99999,29.0115
8/5/2000,16,374.7337,-99999,-99999,28.1935
8/5/2000,17,216.6275,-99999,-99999,28.8265
8/5/2000,18,233.6480,-99999,-99999,29.4021
8/5/2000,19,80.6547,-99999,-99999,27.8658
8/5/2000,20,-6.3522,0.0000,0.0000,24.3475
8/5/2000,21,-5.9175,0.0000,0.0000,22.6978
8/5/2000,22,-3.5510,0.0000,0.0000,23.0109
8/5/2000,23,-4.3043,0.0000,0.0000,22.1264
8/6/2000,0,-5.1287,0.0000,0.0000,17.1120
8/6/2000,1,-4.4758,0.0000,0.0000,16.0372
8/6/2000,2,-5.9998,0.0000,0.0000,15.1601
8/6/2000,3,-5.1593,0.0000,0.0000,13.9852
8/6/2000,4,-4.0292,0.0000,0.0000,13.4951
8/6/2000,5,-2.5998,0.0000,0.0000,14.0654
8/6/2000,6,41.3787,-99999,-99999,16.1731
8/6/2000,7,205.8140,-99999,-99999,19.9704
8/6/2000,8,414.7102,-99999,-99999,25.4466
8/6/2000,9,615.8160,-99999,-99999,29.8374
8/6/2000,10,800.1602,-99999,-99999,30.3430
8/6/2000,11,930.3643,-99999,-99999,31.2252
8/6/2000,12,1001.7808,-99999,-99999,32.4683
8/6/2000,13,995.5672,-99999,-99999,33.9203
8/6/2000,14,940.0890,-99999,-99999,34.8527
8/6/2000,15,814.3700,-99999,-99999,35.2156
8/6/2000,16,626.2007,-99999,-99999,36.6123
8/6/2000,17,433.7680,-99999,-99999,35.6117
8/6/2000,18,110.3432,-99999,-99999,30.6944
8/6/2000,19,29.2298,0.0000,0.0000,25.5659
8/6/2000,20,-6.6538,0.0000,0.0000,22.5754
8/6/2000,21,-7.2135,0.0000,0.0000,20.7566
8/6/2000,22,-5.7495,0.0000,0.0000,19.5248
8/6/2000,23,-3.8935,0.0000,0.0000,20.5461
8/7/2000,0,-4.6975,-0.0186,0.0000,21.3489
8/7/2000,1,-4.9153,0.0301,0.0000,21.1372
8/7/2000,2,-4.3103,0.1809,0.0000,21.6939
8/7/2000,3,-4.6487,-0.1558,0.0000,21.5722
8/7/2000,4,-4.3678,-0.0919,0.0000,21.7188
