DATE (MM/DD/YYYY),HOUR-MST,Avg Global PSP [W/m^2],Avg Direct NIP #1 [W/m^2],Avg Diffuse SB PSP [W/m^2],Avg Deck Temp [deg C],Avg Avg Wind Speed @ 10ft [m/s]
11/1/2000,1,-1.1453,0.1002,-0.7070,5.2130,6.4897
11/1/2000,2,-1.0113,0.1847,-0.9320,5.5659,6.4831
11/1/2000,3,-1.3085,-0.0346,-1.1684,5.6491,5.8169
11/1/2000,4,-1.1182,0.1167,-1.0533,5.9414,6.6686
11/1/2000,5,-1.6636,-0.1470,-1.7288,5.9419,2.8524
11/1/2000,6,-1.6719,-0.3257,-1.7910,5.7687,3.3766
11/1/2000,7,5.2594,-0.0540,5.1727,5.6956,2.5437
11/1/2000,8,96.7543,33.7932,84.3690,5.4558,0.5563
11/1/2000,9,321.6677,590.7044,122.7232,8.2768,1.3728
11/1/2000,10,413.3932,705.2053,87.4943,8.7188,7.8681
11/1/2000,11,504.9228,675.8028,122.8189,8.9798,9.5324
11/1/2000,12,293.2097,89.6380,208.7628,9.0482,7.5030
11/1/2000,13,664.1160,913.4552,159.5260,11.1985,5.8824
11/1/2000,14,539.0982,988.3692,72.1402,11.2332,6.9882
11/1/2000,15,385.7998,955.8250,41.6787,10.3415,8.9879
11/1/2000,16,209.9598,831.1942,33.4435,9.0965,8.6926
11/1/2000,17,51.0714,298.5852,22.7990,7.3325,3.8646
11/1/2000,18,-3.2004,0.2644,-3.1742,6.0670,5.0619
11/1/2000,19,-3.6080,0.0460,-3.7234,5.2552,2.8326
11/1/2000,20,-4.8953,-0.2917,-4.7904,4.3093,1.1989
11/1/2000,21,-4.0811,-0.2816,-4.1825,3.3763,1.3558
11/1/2000,22,-3.4155,-0.0604,-3.6400,2.0862,0.9721
11/1/2000,23,-2.8113,0.5345,-3.0088,1.7859,0.5679
11/2/2000,0,-1.7520,0.1555,-1.9912,1.5030,0.2151
11/2/2000,1,-1.5713,0.5576,-1.6146,2.1655,0.5950
11/2/2000,2,-3.5539,-0.5376,-3.5415,1.6597,0.8595
11/2/2000,3,-4.0017,-1.0218,-4.2316,1.0541,0.5728
11/2/2000,4,-4.1424,-1.4313,-4.5669,0.9128,0.4837
11/2/2000,5,-2.7312,-1.0647,-2.9298,0.2598,0.9946
11/2/2000,6,-1.9733,-0.4754,-2.2868,0.4906,1.3943
11/2/2000,7,5.9828,6.7405,4.9447,0.8829,1.7976
11/2/2000,8,62.4190,16.1203,53.8571,0.9453,1.4509
11/2/2000,9,198.2912,386.3023,62.3148,1.5563,1.4833
11/2/2000,10,464.3203,670.5555,77.5458,3.2644,1.8065
11/2/2000,11,619.7638,890.5742,150.4548,4.6135,2.6210
11/2/2000,12,511.9188,504.8865,190.7393,4.9291,1.7337
11/2/2000,13,358.7032,326.4266,143.4722,5.1276,1.5492
11/2/2000,14,240.3853,93.0821,172.7027,4.8918,1.8840
11/2/2000,15,164.2313,16.6872,146.3038,4.6662,1.9134
11/2/2000,16,87.4083,1.9358,82.6443,4.7933,1.0125
11/2/2000,17,15.8609,0.2891,14.7428,4.2129,1.6118
11/2/2000,18,-1.0370,0.3401,-0.9739,3.5040,2.5029
11/2/2000,19,-0.9766,0.5264,-0.8918,3.2226,1.8284
11/2/2000,20,-1.2195,0.5423,-1.1153,2.9472,0.9425
11/2/2000,21,-1.0543,0.1279,-0.9179,2.3207,2.8504
11/2/2000,22,-1.2564,-0.8188,-0.8703,0.5415,4.4203
11/2/2000,23,-0.3963,-0.0121,-0.2113,-1.2647,4.3305
11/3/2000,0,-0.3461,0.5539,-0.2545,-1.2363,2.8630
11/3/2000,1,-0.3817,0.4426,-0.2930,-1.3917,2.7765
11/3/2000,2,-0.4258,0.3514,-0.3022,-1.6889,2.4613
11/3/2000,3,-0.4900,0.3178,-0.3550,-1.9622,2.4935
11/3/2000,4,-0.8322,0.5891,-0.7173,-2.0872,0.9225
11/3/2000,5,-1.0558,0.7469,-1.0412,-2.1824,0.2113
11/3/2000,6,-0.4139,1.0098,-0.3429,-1.9819,0.6162
11/3/2000,7,2.0634,0.8347,2.1758,-1.9003,0.9456
11/3/2000,8,44.0338,1.2749,42.6214,-1.6269,1.4430
11/3/2000,9,161.5803,8.1195,145.8259,-1.1794,1.9949
11/3/2000,10,316.9440,150.3948,217.0842,-0.2579,0.8204
11/3/2000,11,203.5843,4.8737,192.6790,0.6666,0.5865
11/3/2000,12,372.1430,89.5944,291.4677,1.7565,0.7616
11/3/2000,13,490.2567,383.6551,240.4058,3.0697,1.1621
11/3/2000,14,402.7253,580.8214,114.6815,4.1922,0.8836
11/3/2000,15,325.0523,597.4915,94.5992,5.0076,1.1477
11/3/2000,16,143.7168,275.8444,83.5558,4.6290,0.9658
11/3/2000,17,22.9748,87.8589,13.8742,3.6927,0.5488
11/3/2000,18,-4.8692,-0.4847,-4.7682,1.7677,0.2157
11/3/2000,19,-4.0527,0.3072,-4.3306,1.3705,0.2841
11/3/2000,20,-3.6159,0.6126,-3.7988,0.6098,0.6837
11/3/2000,21,-3.6678,0.8307,-3.9069,0.3438,0.6797
11/3/2000,22,-3.9817,0.8306,-4.0320,0.1365,0.5523
11/3/2000,23,-3.6930,0.5234,-3.8460,-0.1157,0.8786
11/4/2000,0,-4.3302,-1.1305,-4.3870,0.1856,0.6651
11/4/2000,1,-4.0661,-0.5141,-4.2560,-0.0948,0.4395
11/4/2000,2,-3.5609,-0.5652,-3.6309,0.5092,1.3063
11/4/2000,3,-3.8737,-1.1101,-4.2256,1.5719,1.1246
11/4/2000,4,-4.2278,-1.2129,-4.4891,1.3675,1.4418
11/4/2000,5,-3.7440,-0.5844,-4.0738,2.0120,0.7216
11/4/2000,6,-3.4948,-1.1990,-3.8362,3.3829,1.6539
11/4/2000,7,5.4733,88.2063,1.1574,3.7884,2.2769
11/4/2000,8,86.4812,434.4362,29.3733,5.4606,1.0105
11/4/2000,9,244.8675,546.3863,58.5566,4.4581,0.8391
11/4/2000,10,452.7785,985.0813,38.1037,7.3794,0.9081
11/4/2000,11,551.3935,1031.8117,34.8671,10.1067,1.2677
11/4/2000,12,589.8753,1025.1883,38.7541,10.6633,2.4893
11/4/2000,13,563.1247,1002.0398,39.4395,11.8075,1.9592
11/4/2000,14,482.8867,962.8417,39.4656,12.3642,2.7903
11/4/2000,15,349.4232,881.3990,38.4893,12.4693,2.8836
11/4/2000,16,181.8113,722.0320,30.6668,11.5528,2.7200
11/4/2000,17,30.3806,217.3271,11.2029,9.2223,2.1836
11/4/2000,18,-4.4466,-0.5083,-4.3965,7.5346,1.3817
11/4/2000,19,-4.6752,0.3367,-4.6774,5.7127,0.7825
11/4/2000,20,-4.0645,0.7382,-4.2772,5.9901,0.7966
11/4/2000,21,-4.2174,0.3272,-4.5748,5.5657,0.6259
11/4/2000,22,-3.2354,0.7800,-3.6675,5.2814,1.7882
11/4/2000,23,-2.4267,1.5586,-2.9735,6.3813,2.9075
11/5/2000,0,-1.9856,-0.2002,-2.3290,7.4464,2.0961
11/5/2000,1,-2.7080,0.0954,-2.9353,9.0052,2.1784
11/5/2000,2,-3.3629,-1.0107,-3.4698,8.3880,0.5728
11/5/2000,3,-2.0132,-0.1795,-2.1972,8.4000,2.0159
11/5/2000,4,-3.2734,-0.4633,-3.5151,8.6430,2.1377
11/5/2000,5,-3.3941,-1.1135,-3.3726,7.3657,1.0154
11/5/2000,6,-1.7973,-0.0956,-1.7673,6.9080,0.7507
