DATE (MM/DD/YYYY),HOUR-MST,Avg Global CM6b [W/m^2],Avg Direct CH1 [W/m^2],Avg Diffuse CM22 Vent [W/m^2],Avg Deck Temp [deg C],Avg Avg Wind Speed @ 10ft [m/s]
8/4/2001,1,-99999,-99999,-99999,24.3132,2.3313
8/4/2001,2,-99999,-99999,-99999,23.1600,0.7232
8/4/2001,3,-99999,-99999,-99999,22.3035,1.8504
8/4/2001,4,-99999,-99999,-99999,23.5928,4.7834
8/4/2001,5,-99999,-99999,-99999,23.8637,4.6295
8/4/2001,6,-99999,-99999,-99999,23.5983,2.9569
8/4/2001,7,-99999,-99999,-99999,24.5852,1.9353
8/4/2001,8,-99999,-99999,-99999,26.1035,2.3237
8/4/2001,9,-99999,-99999,-99999,26.7422,1.5341
8/4/2001,10,-99999,-99999,-99999,27.6707,2.1419
8/4/2001,11,-819.3300,-99999,153.0900,28.2828,2.4032
8/4/2001,12,-534.5115,1756.2203,181.3736,29.2077,2.0043
8/4/2001,13,-164.8547,1747.4830,-31.2774,29.0615,2.1613
8/4/2001,14,651.4237,354.8281,126.6757,29.8027,1.8602
8/4/2001,15,387.0350,124.8572,-0.0019,29.9398,1.6359
8/4/2001,16,362.2983,244.3789,-0.0093,30.5417,1.4551
8/4/2001,17,182.5037,35.3665,-0.0008,30.0967,0.5711
8/4/2001,18,120.1858,31.7549,-0.0016,29.7580,1.0385
8/4/2001,19,32.9858,56.9865,0.0000,28.1275,0.1411
8/4/2001,20,-1.0092,-0.5161,0.0000,26.7467,1.2705
8/4/2001,21,-1.1117,-0.6022,0.0000,25.0500,4.4671
8/4/2001,22,-1.1733,-0.3045,0.0000,23.7455,4.1785
8/4/2001,23,-0.5956,-1.0772,0.0000,23.5013,4.1525
8/5/2001,0,0.8932,-0.1846,0.0000,19.3997,2.7317
8/5/2001,1,1.6462,0.2107,-0.0003,21.9477,3.5872
8/5/2001,2,-1.1405,-0.4117,-0.0003,23.1355,4.5655
8/5/2001,3,-1.6579,-0.3639,0.0000,23.3740,4.1689
8/5/2001,4,-1.7543,-0.5109,-0.0002,23.3207,5.0516
8/5/2001,5,-1.3895,-0.3789,-0.0003,22.9723,5.4401
8/5/2001,6,40.6407,123.0378,-0.0002,23.4992,5.1029
8/5/2001,7,121.5475,241.9140,-0.0047,24.7440,3.6632
8/5/2001,8,403.4147,776.1043,-0.0149,28.5768,1.3258
8/5/2001,9,593.9068,869.9957,-0.0026,28.5767,1.4490
8/5/2001,10,697.1630,704.3005,0.0068,28.7458,1.8874
8/5/2001,11,858.1378,640.5693,0.0075,30.2003,2.1632
8/5/2001,12,942.8712,911.6113,0.0057,31.0523,2.9027
8/5/2001,13,874.4502,696.3142,-0.0045,31.3135,2.4525
8/5/2001,14,867.4237,806.1063,-0.0061,32.1055,2.2770
8/5/2001,15,387.5482,133.9518,-0.0009,31.5017,2.4234
8/5/2001,16,408.0207,189.9191,-0.0056,30.1467,3.2759
8/5/2001,17,265.4318,153.9927,-0.0062,31.2912,1.5036
8/5/2001,18,239.6502,379.4356,-0.0284,31.2150,0.4328
8/5/2001,19,52.5226,116.5800,-0.0019,29.8988,1.0797
8/5/2001,20,-1.3047,-0.7093,0.0000,26.8842,2.8768
8/5/2001,21,-2.0281,-0.4948,0.0000,26.3003,2.9467
