DATE (MM/DD/YYYY),HOUR-MST,Avg Global PSP Vent [W/m^2],Avg Direct CH1 [W/m^2],Avg Diffuse 8-48 Vent [W/m^2],Avg Deck Dry Bulb Temp [deg C],Avg Avg Wind Speed @ 10ft [m/s]
1/1/2004,1,-8.6948,-0.5148,-0.1267,5.9512,4.6200
1/1/2004,2,-8.5685,-0.6218,-0.3390,5.1749,2.0166
1/1/2004,3,-8.4253,-0.5817,-0.2954,4.8000,3.1922
1/1/2004,4,-8.9093,-0.4947,-0.1246,5.7153,4.3332
1/1/2004,5,-8.6851,-0.6623,-0.3380,4.7674,3.1859
1/1/2004,6,-8.7090,-0.7424,-0.2696,5.0752,2.7332
1/1/2004,7,-7.9415,-0.7117,-0.3900,4.1741,1.7240
1/1/2004,8,14.5043,213.7320,11.8125,3.8358,1.8990
1/1/2004,9,191.5501,611.9598,111.6251,6.7944,2.7092
1/1/2004,10,300.2898,355.2732,205.3063,7.7690,3.0183
1/1/2004,11,372.6430,515.3229,174.8245,8.5602,3.0704
1/1/2004,12,486.7394,878.8787,114.0696,9.6088,2.8246
1/1/2004,13,467.8669,880.4976,91.8092,9.4167,2.6144
1/1/2004,14,383.2928,730.8545,101.2408,10.1670,1.5777
1/1/2004,15,274.3565,761.7027,58.6700,11.0023,1.3322
1/1/2004,16,184.0041,580.4214,90.3764,10.8327,2.8809
1/1/2004,17,2.7711,5.4664,12.3296,7.7078,2.7592
1/1/2004,18,-6.3804,-0.6263,-0.3578,6.1289,0.9870
1/1/2004,19,-6.5564,-0.5710,-0.3771,5.4923,1.4065
1/1/2004,20,-5.6342,-0.1498,-0.1841,6.5842,1.2499
1/1/2004,21,-7.0466,-0.6503,-0.4245,7.6895,1.5880
1/1/2004,22,-8.5850,-0.2332,-0.1122,8.4167,6.0608
1/1/2004,23,-9.0044,-0.5307,-0.2361,8.5005,4.4959
1/2/2004,0,-9.1847,-0.8362,-0.3450,7.9357,3.6741
1/2/2004,1,-8.3227,-0.5162,-0.2815,7.2512,2.9852
1/2/2004,2,-8.2496,-0.5771,-0.2461,7.3677,3.0147
1/2/2004,3,-7.1136,-0.6493,-0.3844,6.7351,1.2285
1/2/2004,4,-7.4940,-0.5166,-0.2686,6.1428,1.8346
1/2/2004,5,-7.4863,-0.6117,-0.1629,5.8294,1.8467
1/2/2004,6,-7.0707,-0.5489,-0.2912,5.1492,1.9768
1/2/2004,7,-5.3921,-0.5586,-0.4408,3.9102,0.7931
1/2/2004,8,15.2110,2.5129,18.8241,3.7516,0.4160
1/2/2004,9,122.8681,88.6685,113.7214,5.8206,0.6854
1/2/2004,10,221.5644,28.2565,216.0087,5.9399,2.4709
1/2/2004,11,273.6845,90.8351,244.5030,6.3257,2.9518
1/2/2004,12,194.7512,81.9266,164.7338,6.0411,2.1763
1/2/2004,13,159.9610,1.8388,164.0118,4.9994,3.2956
1/2/2004,14,107.0226,1.9783,110.8294,2.9740,2.3144
1/2/2004,15,170.4574,77.8791,152.0752,2.9788,1.7952
1/2/2004,16,91.7150,54.0364,87.4726,2.7780,1.2060
1/2/2004,17,9.2022,-0.4661,14.9095,2.2286,1.8414
1/2/2004,18,-5.6133,-0.4404,-0.2272,1.2713,2.6289
1/2/2004,19,-5.4806,-0.4979,-0.2586,-0.7121,2.3033
1/2/2004,20,-4.8375,-0.6846,-0.2499,-2.8737,1.5984
1/2/2004,21,-3.2767,-0.1813,-0.2322,-3.2233,0.7088
1/2/2004,22,-3.7331,-0.2804,-0.2588,-3.1771,1.3138
1/2/2004,23,-3.5224,-0.1581,-0.1545,-3.1083,1.0906
1/3/2004,0,-3.3363,-0.5413,-0.1911,-2.7987,1.5230
1/3/2004,1,-4.1656,-0.6766,-0.1554,-3.3993,2.7959
1/3/2004,2,-3.5372,-0.4282,-0.2521,-5.3107,1.2220
1/3/2004,3,-3.2438,-0.1624,-0.2187,-5.6216,0.6020
1/3/2004,4,-3.2818,-0.2185,-0.2504,-5.7494,0.6266
1/3/2004,5,-3.4748,-0.3340,-0.2102,-5.6439,1.3478
1/3/2004,6,-2.6102,-0.0334,-0.3306,-5.5171,0.1163
1/3/2004,7,-2.3963,-0.6689,-0.1371,-5.4199,0.1113
1/3/2004,8,3.7883,-0.3001,6.2570,-5.5898,0.1565
1/3/2004,9,40.1442,0.0464,45.2185,-5.4351,0.2226
1/3/2004,10,61.6975,-0.0073,68.6617,-5.2873,0.4058
1/3/2004,11,97.9482,0.4785,103.5891,-4.9928,0.2085
1/3/2004,12,132.3381,0.4256,141.5360,-4.0603,0.1695
1/3/2004,13,144.7991,-0.2609,171.3713,-3.9353,1.2013
1/3/2004,14,130.3451,0.3316,179.8702,-3.7849,0.2359
1/3/2004,15,88.5867,0.2558,130.3419,-4.0002,0.4792
1/3/2004,16,46.4876,0.0143,70.2878,-4.0830,0.0965
1/3/2004,17,9.7819,-0.6825,18.3478,-4.5538,0.3907
1/3/2004,18,-2.0924,-0.4997,-0.2546,-4.8794,0.0995
1/3/2004,19,-2.3797,-0.5375,-0.3655,-5.1839,0.0978
1/3/2004,20,-2.2181,-0.6501,-0.3157,-5.4509,0.8191
1/3/2004,21,-2.0564,-0.3185,-0.0697,-5.9263,4.5058
1/3/2004,22,-2.4021,-0.3943,-0.1340,-5.6569,3.7231
1/3/2004,23,-3.2100,-0.5935,-0.2214,-6.4165,3.9019
1/4/2004,0,-2.5114,-0.3817,-0.1149,-7.1580,3.5610
1/4/2004,1,-2.0130,-0.1810,-0.0873,-6.6672,3.3263
1/4/2004,2,-2.0954,-0.4036,-0.1271,-6.6360,2.3598
1/4/2004,3,-2.0954,-0.4223,-0.1519,-6.8173,2.0406
1/4/2004,4,-2.2612,-0.4992,-0.1660,-7.1868,1.7186
1/4/2004,5,-2.1739,-0.3040,-0.3007,-7.4548,0.4599
1/4/2004,6,-3.6966,-0.9908,-0.6051,-8.6285,0.3772
1/4/2004,7,-3.5321,-0.8050,-0.4292,-9.3490,0.7695
1/4/2004,8,5.2600,76.0921,8.8654,-9.3710,2.0384
1/4/2004,9,58.9126,557.8097,36.9147,-6.5075,4.2800
1/4/2004,10,128.8307,876.3588,52.2438,-5.8256,4.0570
