DATE (MM/DD/YYYY),HOUR-MST,Avg Global CM22 Vent [W/m^2],Avg Direct CH1 [W/m^2],Avg Diffuse 8-48 Vent [W/m^2]
1/1/2009,1,-1.7540,-0.3565,-1.9914
1/1/2009,2,-1.6523,-0.4714,-2.1793
1/1/2009,3,-1.6919,-0.6083,-1.9781
1/1/2009,4,-1.7079,-0.3505,-1.9603
1/1/2009,5,-1.6317,-0.4163,-1.9706
1/1/2009,6,-1.5813,-0.3571,-1.8130
1/1/2009,7,-1.3912,-0.5298,-1.9080
1/1/2009,8,15.6705,29.7461,13.7125
1/1/2009,9,99.6476,51.1162,87.8430
1/1/2009,10,192.4677,58.0446,174.6318
1/1/2009,11,296.2980,66.9174,264.4420
1/1/2009,12,325.9843,47.5256,299.0152
1/1/2009,13,340.1103,103.1956,285.0127
1/1/2009,14,189.7550,44.5203,166.4517
1/1/2009,15,178.4263,34.7684,163.5595
1/1/2009,16,177.4838,328.6034,119.8608
1/1/2009,17,46.7959,130.3147,32.2507
1/1/2009,18,-1.3111,-0.3120,-1.9049
1/1/2009,19,-1.4162,-0.4801,-1.9674
1/1/2009,20,-1.5334,-0.2521,-1.9441
1/1/2009,21,-1.5411,-0.3018,-1.8812
1/1/2009,22,-1.4644,-0.2648,-1.9725
1/1/2009,23,-1.4464,-0.3173,-1.9457
1/2/2009,0,-1.4811,-0.1089,-1.9834
1/2/2009,1,-1.3722,-0.2383,-1.8332
1/2/2009,2,-1.3951,-0.6012,-2.0281
1/2/2009,3,-1.4019,-0.3985,-2.0796
1/2/2009,4,-1.4507,-0.4505,-1.9648
1/2/2009,5,-1.2847,-0.6429,-1.9122
1/2/2009,6,-1.2572,-0.5484,-1.7405
1/2/2009,7,-1.3167,-0.5835,-1.8193
1/2/2009,8,13.9524,7.1956,13.1874
1/2/2009,9,117.2034,45.0570,105.8686
1/2/2009,10,271.6425,202.8640,200.4150
1/2/2009,11,362.3980,261.5778,249.7358
1/2/2009,12,458.2387,382.5875,272.1992
1/2/2009,13,493.4975,649.5455,185.9727
1/2/2009,14,375.8215,426.9726,193.7028
