DATE (MM/DD/YYYY),HOUR-MST,Avg Zenith Angle [degrees],Avg Azimuth Angle [degrees],Avg Tower Dry Bulb Temp [deg C]
1/1/2009,1,162.0056,43.5699,10.2755
1/1/2009,2,155.1127,53.1987,9.9288
1/1/2009,3,144.8807,72.2547,9.3147
1/1/2009,4,133.6127,84.6641,8.7188
1/1/2009,5,122.1089,94.4064,8.6768
1/1/2009,6,110.7358,103.1786,8.2920
1/1/2009,7,99.7587,111.8733,8.1148
1/1/2009,8,89.3056,121.0997,8.5232
1/1/2009,9,80.0820,131.3609,8.6737
1/1/2009,10,72.2912,143.0734,9.3655
1/1/2009,11,66.4950,156.4467,9.9647
1/1/2009,12,63.2882,171.2539,10.7548
1/1/2009,13,63.0781,186.6926,11.7197
1/1/2009,14,65.8938,201.6457,11.5620
1/1/2009,15,71.3702,215.2421,12.0443
1/1/2009,16,78.9267,227.1784,12.4638
1/1/2009,17,87.9568,237.6197,11.5228
1/1/2009,18,98.3079,246.9649,10.7173
1/1/2009,19,109.2099,255.7084,9.9680
1/1/2009,20,120.5422,264.4400,10.0967
1/1/2009,21,132.0418,273.9976,10.2203
1/1/2009,22,143.3651,285.9177,10.1693
1/1/2009,23,153.8048,303.7263,9.8737
1/2/2009,0,161.3531,334.9603,10.6953
1/2/2009,1,161.9515,43.1627,9.9110
1/2/2009,2,155.1183,52.8649,10.4902
1/2/2009,3,144.9122,72.0163,9.8295
1/2/2009,4,133.6526,84.4780,9.5332
1/2/2009,5,122.1489,94.2476,8.1760
1/2/2009,6,110.7711,103.0333,7.0321
1/2/2009,7,99.7852,111.7334,6.6550
1/2/2009,8,89.3190,120.9598,4.7862
1/2/2009,9,80.0788,131.2182,5.9181
1/2/2009,10,72.2666,142.9280,8.5998
1/2/2009,11,66.4451,156.3033,11.6655
1/2/2009,12,63.2114,171.1219,13.4238
1/2/2009,13,62.9767,186.5829,15.6442
1/2/2009,14,65.7735,201.5649,16.0005
1/2/2009,15,71.2380,215.1898,16.3297
1/2/2009,16,78.7888,227.1497,16.0627
1/2/2009,17,87.8128,237.6092,13.3258
1/2/2009,18,98.1659,246.9681,12.0710
1/2/2009,19,109.0683,255.7219,9.9205
1/2/2009,20,120.4010,264.4614,8.4175
1/2/2009,21,131.9005,274.0232,7.1880
1/2/2009,22,143.2229,285.9372,6.1554
1/2/2009,23,153.6628,303.6980,6.2576
1/3/2009,0,161.2280,334.7506,6.0185
1/3/2009,1,161.8891,48.7557,6.7748
1/3/2009,2,155.1168,52.5216,6.1553
1/3/2009,3,144.9376,71.7686,6.3390
1/3/2009,4,133.6868,84.2841,5.3492
1/3/2009,5,122.1835,94.0821,4.1840
1/3/2009,6,110.8008,102.8822,4.7457
1/3/2009,7,99.8059,111.5883,1.1973
1/3/2009,8,89.3263,120.8155,-2.8627
1/3/2009,9,80.0691,131.0718,-3.3701
1/3/2009,10,72.2350,142.7798,-3.3620
1/3/2009,11,66.3878,156.1584,-3.1116
1/3/2009,12,63.1272,170.9901,-3.3392
1/3/2009,13,62.8680,186.4753,-4.2215
1/3/2009,14,65.6466,201.4879,-4.7139
1/3/2009,15,71.1000,215.1424,-5.2379
1/3/2009,16,78.6458,227.1268,-5.7100
1/3/2009,17,87.6647,237.6049,-6.1458
1/3/2009,18,98.0202,246.9779,-6.5196
1/3/2009,19,108.9233,255.7427,-6.8328
1/3/2009,20,120.2567,264.4909,-7.1222
1/3/2009,21,131.7563,274.0582,-7.6732
1/3/2009,22,143.0774,285.9679,-8.3247
1/3/2009,23,153.5163,303.6838,-9.3047
1/4/2009,0,161.0963,334.5556,-9.8740
1/4/2009,1,161.8184,48.3498,-10.2433
1/4/2009,2,155.1079,52.1695,-10.5472
1/4/2009,3,144.9568,71.5117,-10.7598
1/4/2009,4,133.7154,84.0826,-10.9873
1/4/2009,5,122.2125,93.9101,-11.8132
1/4/2009,6,110.8248,102.7255,-12.1135
1/4/2009,7,99.8207,111.4384,-11.5677
1/4/2009,8,89.3277,120.6668,-11.1678
1/4/2009,9,80.0528,130.9218,-10.2253
1/4/2009,10,72.1964,142.6290,-9.0942
1/4/2009,11,66.3233,156.0121,-8.3297
1/4/2009,12,63.0355,170.8586,-8.0062
1/4/2009,13,62.7522,186.3699,-6.3910
1/4/2009,14,65.5131,201.4147,-4.8170
1/4/2009,15,70.9562,215.1001,-5.3365
1/4/2009,16,78.4978,227.1097,-5.6515
1/4/2009,17,87.5124,237.6070,-7.5474
1/4/2009,18,97.8708,246.9944,-9.3648
1/4/2009,19,108.7752,255.7706,-10.1893
1/4/2009,20,120.1096,264.5283,-10.2980
1/4/2009,21,131.6091,274.1024,-9.9753
1/4/2009,22,142.9286,286.0098,-9.7742
1/4/2009,23,153.3656,303.6836,-10.6852
1/5/2009,0,160.9581,334.3753,-10.5077
1/5/2009,1,161.7394,53.9460,-10.9435
1/5/2009,2,155.0916,51.8091,-10.3048
1/5/2009,3,144.9697,71.2461,-9.5723
1/5/2009,4,133.7382,83.8735,-8.0085
1/5/2009,5,122.2359,93.7317,-7.3123
1/5/2009,6,110.8432,102.5633,-7.8846
1/5/2009,7,99.8295,111.2835,-6.6823
1/5/2009,8,89.3231,120.5140,-4.9920
1/5/2009,9,80.0299,130.7682,-1.8721
1/5/2009,10,72.1508,142.4756,1.6784
1/5/2009,11,66.2514,155.8646,3.4798
1/5/2009,12,62.9364,170.7276,5.8457
1/5/2009,13,62.6293,186.2668,4.9370
1/5/2009,14,65.3732,201.3454,4.5174
1/5/2009,15,70.8066,215.0629,4.9016
1/5/2009,16,78.3450,227.0985,3.6983
1/5/2009,17,87.3563,237.6153,2.6702
1/5/2009,18,97.7179,247.0176,1.8417
1/5/2009,19,108.6240,255.8059,0.9897
1/5/2009,20,119.9596,264.5737,0.8977
1/5/2009,21,131.4591,274.1557,0.7351
1/5/2009,22,142.7766,286.0628,0.3142
1/5/2009,23,153.2106,303.6974,0.3717
1/6/2009,0,160.8135,334.2099,0.2953
1/6/2009,1,161.6521,53.5448,-0.1308
1/6/2009,2,155.0679,51.4409,-0.5683
1/6/2009,3,144.9762,70.9721,-0.6011
1/6/2009,4,133.7552,83.6571,-0.7865
1/6/2009,5,122.2536,93.5471,-1.1936
1/6/2009,6,110.8557,102.3956,-0.9343
1/6/2009,7,99.8324,111.1239,-0.6916
1/6/2009,8,89.3124,120.3570,-0.3341
1/6/2009,9,80.0005,130.6112,0.7542
1/6/2009,10,72.0982,142.3197,1.8325
1/6/2009,11,66.1722,155.7158,2.8437
1/6/2009,12,62.8301,170.5970,2.8266
1/6/2009,13,62.4994,186.1660,2.8312
1/6/2009,14,65.2268,201.2802,1.7342
1/6/2009,15,70.6515,215.0309,1.7079
1/6/2009,16,78.1874,227.0931,1.5017
1/6/2009,17,87.1962,237.6300,1.4324
1/6/2009,18,97.5616,247.0476,1.4712
1/6/2009,19,108.4698,255.8483,1.9535
1/6/2009,20,119.8069,264.6271,1.8280
1/6/2009,21,131.3064,274.2182,1.8572
1/6/2009,22,142.6216,286.1268,1.3698
1/6/2009,23,153.0515,303.7250,2.1660
1/7/2009,0,160.6625,334.0593,2.2411
1/7/2009,1,161.5566,53.1473,2.7211
1/7/2009,2,155.0365,51.0655,2.5021
1/7/2009,3,144.9761,70.6898,3.3413
1/7/2009,4,133.7661,83.4336,2.8044
1/7/2009,5,122.2655,93.3564,5.5758
1/7/2009,6,110.8625,102.2227,6.1687
1/7/2009,7,99.8293,110.9597,6.1265
1/7/2009,8,89.2956,120.1960,6.6924
1/7/2009,9,79.9644,130.4509,7.0664
1/7/2009,10,72.0386,142.1613,7.4623
1/7/2009,11,66.0857,155.5660,8.4835
1/7/2009,12,62.7164,170.4670,9.1670
1/7/2009,13,62.3624,186.0677,9.9165
1/7/2009,14,65.0740,201.2190,11.0332
1/7/2009,15,70.4908,215.0041,10.5395
1/7/2009,16,78.0251,227.0937,11.1263
1/7/2009,17,87.0324,237.6511,10.0648
1/7/2009,18,97.4020,247.0843,9.7028
1/7/2009,19,108.3128,255.8979,9.2180
1/7/2009,20,119.6516,264.6883,9.3697
1/7/2009,21,131.1510,274.2897,9.4260
1/7/2009,22,142.4635,286.2016,8.6283
1/7/2009,23,152.8883,303.7661,8.1865
1/8/2009,0,160.5055,333.9237,9.7983
1/8/2009,1,161.4530,58.7539,8.8125
1/8/2009,2,154.9976,50.6835,9.0212
1/8/2009,3,144.9696,70.3997,8.7315
1/8/2009,4,133.7711,83.2032,7.3345
1/8/2009,5,122.2715,93.1597,6.6841
1/8/2009,6,110.8633,102.0446,6.4253
1/8/2009,7,99.8201,110.7910,6.5589
1/8/2009,8,89.2727,120.0310,7.1070
1/8/2009,9,79.9217,130.2874,9.8690
1/8/2009,10,71.9720,142.0007,14.0063
1/8/2009,11,65.9921,155.4151,16.3685
1/8/2009,12,62.5954,170.3377,15.3605
1/8/2009,13,62.2186,185.9720,14.8055
1/8/2009,14,64.9150,201.1620,14.5028
1/8/2009,15,70.3247,214.9826,14.8123
1/8/2009,16,77.8582,227.1002,15.8822
1/8/2009,17,86.8650,237.6785,14.3687
1/8/2009,18,97.2392,247.1277,11.9738
1/8/2009,19,108.1530,255.9547,10.2492
1/8/2009,20,119.4937,264.7575,9.2538
1/8/2009,21,130.9931,274.3702,9.1013
1/8/2009,22,142.3026,286.2872,8.0320
1/8/2009,23,152.7213,303.8205,7.3774
1/9/2009,0,160.3423,333.8029,8.3711
1/9/2009,1,161.3412,58.3654,9.1135
1/9/2009,2,154.9510,50.2956,7.6235
1/9/2009,3,144.9563,70.1020,6.7543
1/9/2009,4,133.7699,82.9660,6.0794
1/9/2009,5,122.2717,92.9573,6.9889
1/9/2009,6,110.8583,101.8615,5.6765
1/9/2009,7,99.8048,110.6178,4.5527
1/9/2009,8,89.2436,119.8623,4.6753
1/9/2009,9,79.8724,130.1207,3.2198
1/9/2009,10,71.8984,141.8378,1.4826
1/9/2009,11,65.8912,155.2632,1.4800
1/9/2009,12,62.4673,170.2091,1.9243
1/9/2009,13,62.0679,185.8788,3.0297
1/9/2009,14,64.7498,201.1093,4.4420
1/9/2009,15,70.1533,214.9665,2.0253
1/9/2009,16,77.6868,227.1128,1.9144
1/9/2009,17,86.6939,237.7123,1.5855
1/9/2009,18,97.0732,247.1779,0.3853
1/9/2009,19,107.9904,256.0187,-0.7938
1/9/2009,20,119.3334,264.8344,-1.6358
1/9/2009,21,130.8328,274.4595,-2.0520
1/9/2009,22,142.1388,286.3833,-2.7895
1/9/2009,23,152.5504,303.8881,-3.6244
1/10/2009,0,160.1733,333.6968,-3.6553
1/10/2009,1,161.2214,63.9824,-3.6161
1/10/2009,2,154.8967,49.9022,-2.3714
1/10/2009,3,144.9364,69.7971,-1.0594
1/10/2009,4,133.7626,82.7223,-0.4773
1/10/2009,5,122.2659,92.7492,-0.2435
1/10/2009,6,110.8473,101.6734,0.0585
1/10/2009,7,99.7835,110.4404,0.4231
1/10/2009,8,89.2085,119.6898,1.1450
1/10/2009,9,79.8165,129.9509,3.3039
1/10/2009,10,71.8179,141.6728,1.3697
1/10/2009,11,65.7832,155.1105,2.6300
1/10/2009,12,62.3320,170.0813,4.7602
1/10/2009,13,61.9103,185.7883,6.0244
1/10/2009,14,64.5784,201.0608,6.7166
1/10/2009,15,69.9766,214.9558,5.4012
1/10/2009,16,77.5110,227.1314,3.7985
1/10/2009,17,86.5194,237.7526,3.4505
1/10/2009,18,96.9042,247.2347,3.4001
1/10/2009,19,107.8253,256.0897,3.1609
1/10/2009,20,119.1707,264.9191,2.9428
1/10/2009,21,130.6700,274.5576,3.1091
1/10/2009,22,141.9722,286.4898,3.1716
1/10/2009,23,152.3757,303.9686,3.2043
1/11/2009,0,159.9983,333.6052,3.1507
1/11/2009,1,161.0935,63.6056,3.0744
1/11/2009,2,154.8346,49.5039,3.0893
1/11/2009,3,144.9096,69.4853,3.1795
1/11/2009,4,133.7491,82.4723,3.3952
1/11/2009,5,122.2542,92.5356,3.2921
1/11/2009,6,110.8303,101.4806,3.2413
1/11/2009,7,99.7560,110.2587,3.2554
1/11/2009,8,89.1594,119.5137,2.7175
1/11/2009,9,79.7540,129.7782,3.8982
1/11/2009,10,71.7305,141.5057,4.2839
1/11/2009,11,65.6680,154.9569,3.2123
1/11/2009,12,62.1896,169.9544,4.5461
1/11/2009,13,61.7461,185.7005,4.7207
1/11/2009,14,64.4010,201.0167,5.4565
1/11/2009,15,69.7947,214.9505,7.3308
1/11/2009,16,77.3309,227.1560,6.3651
1/11/2009,17,86.3415,237.7992,4.9605
1/11/2009,18,96.7323,247.2983,4.6011
1/11/2009,19,107.6576,256.1678,4.3474
1/11/2009,20,119.0057,265.0114,4.3803
1/11/2009,21,130.5050,274.6644,4.6925
1/11/2009,22,141.8029,286.6066,4.9962
1/11/2009,23,152.1973,304.0616,4.9241
1/12/2009,0,159.8177,333.5281,4.6142
1/12/2009,1,160.9578,69.2353,5.3294
1/12/2009,2,154.7648,49.1014,5.2813
1/12/2009,3,144.8760,69.1669,5.2345
1/12/2009,4,133.7293,82.2162,4.7180
1/12/2009,5,122.2364,92.3166,1.8566
1/12/2009,6,110.8074,101.2830,-3.7179
1/12/2009,7,99.7224,110.0730,-5.0684
1/12/2009,8,89.1120,119.3341,-5.1201
1/12/2009,9,79.6849,129.6026,-4.8922
1/12/2009,10,71.6362,141.3365,-4.4312
1/12/2009,11,65.5458,154.8026,-3.0322
1/12/2009,12,62.0402,169.8283,-1.9922
1/12/2009,13,61.5752,185.6154,-3.3567
1/12/2009,14,64.2177,200.9769,-3.4934
1/12/2009,15,69.6078,214.9507,-3.0558
1/12/2009,16,77.1466,227.1868,-3.1444
1/12/2009,17,86.1603,237.8523,-4.1766
1/12/2009,18,96.5575,247.3685,-5.1443
1/12/2009,19,107.4875,256.2530,-6.2892
1/12/2009,20,118.8384,265.1114,-5.6348
1/12/2009,21,130.3376,274.7798,-5.8219
1/12/2009,22,141.6310,286.7335,-7.0095
1/12/2009,23,152.0153,304.1671,-7.9843
1/13/2009,0,159.6314,333.4652,-7.5919
1/13/2009,1,160.8142,68.8721,-5.2989
1/13/2009,2,154.6871,48.6952,-2.7598
1/13/2009,3,144.8355,68.8422,1.7763
1/13/2009,4,133.7032,81.9542,3.0586
1/13/2009,5,122.2125,92.0925,3.2249
1/13/2009,6,110.7784,101.0809,3.0684
1/13/2009,7,99.6827,109.8832,3.4067
1/13/2009,8,89.0585,119.1509,3.5927
1/13/2009,9,79.6093,129.4241,5.8104
1/13/2009,10,71.5351,141.1654,6.0467
1/13/2009,11,65.4165,154.6475,6.1916
1/13/2009,12,61.8838,169.7032,6.6004
1/13/2009,13,61.3976,185.5332,7.3093
1/13/2009,14,64.0284,200.9416,8.0698
1/13/2009,15,69.4158,214.9564,7.5752
1/13/2009,16,76.9582,227.2236,6.2054
1/13/2009,17,85.9759,237.9117,5.9762
1/13/2009,18,96.3799,247.4454,4.9592
1/13/2009,19,107.3151,256.3451,4.8467
1/13/2009,20,118.6690,265.2189,5.0152
1/13/2009,21,130.1681,274.9036,5.2947
1/13/2009,22,141.4564,286.8704,5.1219
1/13/2009,23,151.8296,304.2846,5.1766
1/14/2009,0,159.4395,333.4163,4.8723
1/14/2009,1,160.6628,68.5165,4.7745
1/14/2009,2,154.6016,48.2859,4.0877
1/14/2009,3,144.7881,68.5116,4.0029
1/14/2009,4,133.6707,81.6865,4.3495
1/14/2009,5,122.1825,91.8633,4.6527
1/14/2009,6,110.7433,100.8744,4.3759
1/14/2009,7,99.6368,109.6895,3.5564
1/14/2009,8,88.9910,118.9644,3.6851
1/14/2009,9,79.5271,129.2429,4.9531
1/14/2009,10,71.4271,140.9923,6.6270
1/14/2009,11,65.2802,154.4918,6.7734
1/14/2009,12,61.7205,169.5792,5.6133
1/14/2009,13,61.2135,185.4539,6.5949
1/14/2009,14,63.8334,200.9109,7.8912
1/14/2009,15,69.2189,214.9677,7.7321
1/14/2009,16,76.7657,227.2666,5.8461
1/14/2009,17,85.7883,237.9776,1.8518
1/14/2009,18,96.1996,247.5289,0.4433
1/14/2009,19,107.1403,256.4443,-0.5588
1/14/2009,20,118.4975,265.3339,-1.2367
1/14/2009,21,129.9964,275.0358,-1.7077
1/14/2009,22,141.2793,287.0170,-1.6986
1/14/2009,23,151.6405,304.4140,-1.7592
1/15/2009,0,159.2422,333.3811,-2.3166
1/15/2009,1,160.5036,74.1689,-3.1894
1/15/2009,2,154.5082,47.8740,-3.7853
1/15/2009,3,144.7336,68.1755,-4.4935
1/15/2009,4,133.6318,81.4133,-4.6714
1/15/2009,5,122.1464,91.6292,-4.1503
1/15/2009,6,110.7022,100.6636,-4.1982
1/15/2009,7,99.5848,109.4921,-4.3649
1/15/2009,8,88.9253,118.7747,-3.4834
1/15/2009,9,79.4384,129.0590,-3.1155
1/15/2009,10,71.3123,140.8175,-1.9672
1/15/2009,11,65.1370,154.3355,-2.7380
1/15/2009,12,61.5502,169.4562,-1.6481
1/15/2009,13,61.0230,185.3776,4.1187
1/15/2009,14,63.6326,200.8847,6.5567
1/15/2009,15,69.0172,214.9846,7.3427
1/15/2009,16,76.5693,227.3157,6.7425
1/15/2009,17,85.5976,238.0499,5.6673
1/15/2009,18,96.0167,247.6191,3.4487
1/15/2009,19,106.9633,256.5503,2.2852
1/15/2009,20,118.3240,265.4564,1.7607
1/15/2009,21,129.8226,275.1763,1.9401
1/15/2009,22,141.0998,287.1733,3.8492
1/15/2009,23,151.4478,304.5550,5.3158
1/16/2009,0,159.0395,333.3595,5.4917
1/16/2009,1,160.3369,73.8296,5.1834
1/16/2009,2,154.4070,47.4602,4.7601
1/16/2009,3,144.6721,67.8341,5.3982
1/16/2009,4,133.5864,81.1348,5.6364
1/16/2009,5,122.1041,91.3904,5.7868
1/16/2009,6,110.6549,100.4486,6.2301
1/16/2009,7,99.5266,109.2909,6.1483
1/16/2009,8,88.8535,118.5817,6.7495
1/16/2009,9,79.3432,128.8725,9.0948
1/16/2009,10,71.1908,140.6409,11.4603
1/16/2009,11,64.9869,154.1787,13.5947
1/16/2009,12,61.3732,169.3343,13.2218
1/16/2009,13,60.8260,185.3042,14.1730
1/16/2009,14,63.4261,200.8631,14.8670
1/16/2009,15,68.8107,215.0072,16.3805
1/16/2009,16,76.3690,227.3710,15.4403
1/16/2009,17,85.4040,238.1286,12.9870
1/16/2009,18,95.8313,247.7158,11.2857
1/16/2009,19,106.7842,256.6632,11.1108
1/16/2009,20,118.1485,265.5862,10.7512
1/16/2009,21,129.6468,275.3250,10.7957
1/16/2009,22,140.9177,287.3390,10.7892
1/16/2009,23,151.2518,304.7073,10.3972
1/17/2009,0,158.8316,333.3511,9.5395
1/17/2009,1,160.1626,73.4990,9.2032
1/17/2009,2,154.2979,47.0450,8.6462
1/17/2009,3,144.6035,67.4879,8.1463
1/17/2009,4,133.5345,80.8514,7.7032
1/17/2009,5,122.0555,91.1471,6.5528
1/17/2009,6,110.6015,100.2295,5.1795
1/17/2009,7,99.4622,109.0862,5.6672
1/17/2009,8,88.7677,118.3856,5.6020
1/17/2009,9,79.2416,128.6835,6.5768
1/17/2009,10,71.0626,140.4626,9.2140
1/17/2009,11,64.8300,154.0213,9.2628
1/17/2009,12,61.1894,169.2136,11.2898
1/17/2009,13,60.6228,185.2340,12.4863
1/17/2009,14,63.2141,200.8462,12.7600
1/17/2009,15,68.5997,215.0355,13.1047
1/17/2009,16,76.1650,227.4325,13.2263
1/17/2009,17,85.2152,238.2137,11.7143
1/17/2009,18,95.6359,247.8191,8.1333
1/17/2009,19,106.6031,256.7829,7.2305
1/17/2009,20,117.9712,265.7232,6.9168
1/17/2009,21,129.4691,275.4817,7.1128
1/17/2009,22,140.7333,287.5139,6.9865
1/17/2009,23,151.0524,304.8706,7.0268
1/18/2009,0,158.6185,333.3557,7.0273
1/18/2009,1,159.9810,79.1775,7.0880
1/18/2009,2,154.1809,46.6290,6.9694
1/18/2009,3,144.5277,67.1373,6.9055
1/18/2009,4,133.4760,80.5632,7.0198
1/18/2009,5,122.0008,90.8994,7.0847
1/18/2009,6,110.5420,100.0066,6.6486
1/18/2009,7,99.3917,108.8780,7.0573
1/18/2009,8,88.6838,118.1866,7.2924
1/18/2009,9,79.1334,128.4921,9.7595
1/18/2009,10,70.9277,140.2826,13.1307
1/18/2009,11,64.6663,153.8636,14.7060
1/18/2009,12,60.9989,169.0942,14.5273
1/18/2009,13,60.4133,185.1668,16.2012
1/18/2009,14,62.9966,200.8341,16.5867
1/18/2009,15,68.3841,215.0696,16.4002
1/18/2009,16,75.9573,227.5003,15.7273
1/18/2009,17,85.0231,238.3053,13.2173
1/18/2009,18,95.4387,247.9289,10.6463
1/18/2009,19,106.4200,256.9093,10.1472
1/18/2009,20,117.7920,265.8675,9.9858
1/18/2009,21,129.2895,275.6463,10.0248
1/18/2009,22,140.5466,287.6980,10.2515
1/18/2009,23,150.8497,305.0447,10.2882
1/19/2009,0,158.4003,333.3730,9.9238
1/19/2009,1,159.7920,78.8654,9.3608
1/19/2009,2,154.0561,46.2127,9.3103
1/19/2009,3,144.4448,66.7825,10.0767
1/19/2009,4,133.4110,80.2704,11.0038
1/19/2009,5,121.9397,90.6475,11.0898
1/19/2009,6,110.4763,99.7798,10.8418
1/19/2009,7,99.3150,108.6665,10.1748
1/19/2009,8,88.5859,117.9847,10.4215
1/19/2009,9,79.0189,128.2984,12.4092
1/19/2009,10,70.7862,140.1012,14.7675
1/19/2009,11,64.4958,153.7056,15.5883
1/19/2009,12,60.8018,168.9762,16.0418
1/19/2009,13,60.1976,185.1030,17.4207
1/19/2009,14,62.7738,200.8267,17.9105
1/19/2009,15,68.1641,215.1094,16.5845
1/19/2009,16,75.7462,227.5742,15.4365
1/19/2009,17,84.8279,238.4032,13.5302
1/19/2009,18,95.2397,248.0452,11.7318
1/19/2009,19,106.2351,257.0425,10.3248
1/19/2009,20,117.6112,266.0189,9.1418
1/19/2009,21,129.1080,275.8187,8.4182
1/19/2009,22,140.3576,287.8910,7.8390
1/19/2009,23,150.6438,305.2292,7.2718
1/20/2009,0,158.1772,333.4027,6.5594
1/20/2009,1,159.5957,78.5629,6.2637
1/20/2009,2,153.9235,45.7968,6.3608
1/20/2009,3,144.3546,66.4241,6.6859
1/20/2009,4,133.3393,79.9735,6.2394
1/20/2009,5,121.8724,90.3916,6.2753
1/20/2009,6,110.4045,99.5495,5.9596
1/20/2009,7,99.2321,108.4518,5.8310
1/20/2009,8,88.4898,117.7799,5.9263
1/20/2009,9,78.8980,128.1024,8.2773
1/20/2009,10,70.6381,139.9183,11.9655
1/20/2009,11,64.3187,153.5473,14.3258
1/20/2009,12,60.5982,168.8595,16.4442
1/20/2009,13,59.9759,185.0424,17.6400
1/20/2009,14,62.5458,200.8243,19.4598
1/20/2009,15,67.9398,215.1551,20.1178
1/20/2009,16,75.5316,227.6544,19.3010
1/20/2009,17,84.6297,238.5075,16.6982
1/20/2009,18,95.0312,248.1680,14.3217
1/20/2009,19,106.0484,257.1823,13.5408
1/20/2009,20,117.4287,266.1772,12.7622
