DATE (MM/DD/YYYY),HOUR-MST,Avg Global CM22 Vent [W/m^2],Avg Direct CH1 [W/m^2],Avg Diffuse CM22 Vent [W/m^2],Avg Zenith Angle [degrees],Avg Azimuth Angle [degrees],Avg Deck Dry Bulb Temp [deg C]
1/1/2006,1,-1.0170,-0.1647,-0.9270,162.0212,43.6707,9.0688
1/1/2006,2,-0.8972,-0.3095,-0.8353,155.1134,53.2835,8.8817
1/1/2006,3,-0.9183,-0.3256,-0.8142,144.8748,72.3160,8.6263
1/1/2006,4,-1.1388,-0.3246,-1.0580,133.6047,84.7121,8.3033
1/1/2006,5,-1.1751,-0.3819,-1.0372,122.1009,94.4474,7.7083
1/1/2006,6,-1.2622,-0.2142,-1.2146,110.7291,103.2160,7.9833
1/1/2006,7,-1.1045,-0.4704,-0.9198,99.7542,111.9093,7.1378
1/1/2006,8,8.4591,-0.2561,8.6204,89.3044,121.1354,6.4482
1/1/2006,9,103.4158,98.4028,81.6756,80.0851,131.3971,7.6921
1/1/2006,10,173.8839,115.3536,134.9673,72.2997,143.1098,7.5403
1/1/2006,11,395.3442,800.5633,68.0998,66.5098,156.4822,8.2565
1/1/2006,12,504.7923,972.4752,62.9397,63.3097,171.2860,8.9798
1/1/2006,13,508.1322,966.8307,65.2383,63.1055,186.7185,9.2383
1/1/2006,14,449.5453,963.5127,50.7055,65.9255,201.6640,10.0095
1/1/2006,15,335.7637,902.9980,42.0027,71.4045,215.2531,10.4198
1/1/2006,16,186.2892,773.7572,31.5794,78.9622,227.1833,9.3895
1/1/2006,17,28.9924,175.6304,11.4483,87.9916,237.6200,5.5950
1/1/2006,18,-1.4889,-0.3182,-1.3645,98.3439,246.9617,4.5386
1/1/2006,19,-1.5706,-0.5669,-1.3749,109.2457,255.7024,4.3691
1/1/2006,20,-1.6471,-0.5350,-1.4903,120.5777,264.4318,4.1160
1/1/2006,21,-1.6974,-0.3485,-1.4961,132.0774,273.9878,4.0904
1/1/2006,22,-1.7339,-0.3220,-1.5580,143.4011,285.9087,4.3229
1/1/2006,23,-1.7807,-0.2307,-1.6327,153.8412,303.7281,5.2641
1/2/2006,0,-1.6220,-0.5677,-1.3702,161.3860,335.0073,5.4343
1/2/2006,1,-1.4267,-1.0175,-1.2115,161.9694,43.2631,2.9205
1/2/2006,2,-1.5054,-0.6210,-1.3483,155.1211,52.9521,2.5653
1/2/2006,3,-1.5545,-0.5343,-1.4537,144.9081,72.0801,2.2946
1/2/2006,4,-1.4396,-0.6445,-1.2039,133.6462,84.5281,2.2574
1/2/2006,5,-1.3881,-0.4506,-1.2856,122.1425,94.2904,1.3856
1/2/2006,6,-1.3876,-0.3387,-1.3382,110.7659,103.0723,2.1127
1/2/2006,7,-1.2955,-0.6235,-1.1452,99.7824,111.7706,1.9755
1/2/2006,8,28.3343,196.4267,15.5034,89.3195,120.9966,3.6030
1/2/2006,9,139.7018,565.3121,34.2114,80.0838,131.2553,6.3490
1/2/2006,10,312.3232,879.0288,43.0262,72.2771,142.9651,6.6727
1/2/2006,11,424.5383,945.9498,42.9236,66.4620,156.3391,7.5587
1/2/2006,12,444.4148,828.6953,66.0337,63.2350,171.1538,10.1025
1/2/2006,13,472.0852,872.0132,69.2712,63.0061,186.6081,11.5372
1/2/2006,14,437.7075,937.3853,48.5655,65.8071,201.5821,16.2585
1/2/2006,15,339.2115,915.4778,39.8980,71.2740,215.1993,16.8185
1/2/2006,16,188.4553,772.5557,32.4057,78.8256,227.1530,16.3890
1/2/2006,17,21.9963,106.7815,10.3949,87.8486,237.6077,14.5092
1/2/2006,18,-1.6828,-0.8345,-1.3658,98.2029,246.9630,12.8513
1/2/2006,19,-1.7146,-0.5134,-1.5118,109.1049,255.7139,11.9950
1/2/2006,20,-1.5613,-0.4536,-1.5165,120.4373,264.4509,11.6562
1/2/2006,21,-1.7996,-0.4992,-1.6197,131.9369,274.0108,12.5878
1/2/2006,22,-1.7859,-0.5256,-1.5974,143.2597,285.9249,11.7827
1/2/2006,23,-1.7832,-0.5628,-1.5186,153.7003,303.6956,11.3270
1/3/2006,0,-1.6785,-0.6855,-1.4255,161.2627,334.7934,9.8707
1/3/2006,1,-1.6466,-0.4956,-1.4804,161.9093,48.8556,9.2633
1/3/2006,2,-1.6932,-0.2436,-1.5809,155.1216,52.6111,9.2147
1/3/2006,3,-1.5981,-0.5078,-1.4173,144.9352,71.8347,8.8642
1/3/2006,4,-1.5765,-0.3924,-1.4601,133.6821,84.3363,8.2110
1/3/2006,5,-1.4485,-0.6031,-1.2769,122.1787,94.1266,7.2806
1/3/2006,6,-1.4550,-0.4217,-1.3901,110.7973,102.9227,6.7610
1/3/2006,7,-1.4819,-0.5386,-1.3909,99.8048,111.6269,6.6345
1/3/2006,8,37.8754,209.1842,24.1449,89.3286,120.8534,6.6711
1/3/2006,9,102.9734,258.2363,60.7467,80.0759,131.1098,6.3263
1/3/2006,10,312.0153,881.5873,41.2282,72.2475,142.8176,7.0055
1/3/2006,11,439.0155,979.0153,43.9351,66.4068,156.1944,8.3225
1/3/2006,12,506.1055,1006.9628,46.6147,63.1528,171.0217,8.6455
1/3/2006,13,514.6467,1010.8750,48.6228,62.8994,186.4998,9.6457
1/3/2006,14,465.3893,991.4568,51.4147,65.6820,201.5038,9.3780
1/3/2006,15,356.8787,938.4453,48.1187,71.1375,215.1504,9.0943
1/3/2006,16,221.4373,797.7490,58.3602,78.6839,227.1284,9.1320
1/3/2006,17,44.8244,192.9731,24.8939,87.7015,237.6016,7.6458
1/3/2006,18,-1.5136,-0.4070,-1.3241,98.0581,246.9709,7.0464
1/3/2006,19,-1.7351,-0.2429,-1.5545,108.9607,255.7326,7.2847
1/3/2006,20,-1.6625,-0.5212,-1.4224,120.2937,264.4781,6.6046
1/3/2006,21,-1.6509,-0.5571,-1.4285,131.7933,274.0432,5.9287
1/3/2006,22,-1.6316,-0.4591,-1.4594,143.1150,285.9525,5.2350
1/3/2006,23,-1.6595,-0.3101,-1.4455,153.5549,303.6774,5.4122
1/4/2006,0,-1.7250,-0.3636,-1.4719,161.1327,334.5941,5.6568
1/4/2006,1,-1.5908,-0.3810,-1.4339,161.8408,48.4489,5.6272
1/4/2006,2,-1.3182,-0.2457,-1.1759,155.1148,52.2610,5.7740
1/4/2006,3,-1.4433,-0.5751,-1.2472,144.9562,71.5801,4.8827
1/4/2006,4,-1.6616,-0.4301,-1.5138,133.7124,84.1366,4.9029
1/4/2006,5,-1.6741,-0.6394,-1.4987,122.2093,93.9562,4.8141
1/4/2006,6,-1.4978,-0.4269,-1.3333,110.8230,102.7674,4.5156
