DATE (MM/DD/YYYY);HOUR-MST;Avg Global CM22 Vent [W/m^2];Avg Direct CH1 [W/m^2];Avg Diffuse 8-48 Vent [W/m^2];Avg Zenith Angle [degrees];Avg Azimuth Angle [degrees];Avg Tower Dry Bulb Temp [deg C]
DATE;hour;ghi;dni;dhi;zenith;azimuth;temperature
1/1/2009;1;-1.754;-0.3565;-1.9914;162.0056;43.5699;10.2755
1/1/2009;2;-1.6523;-0.4714;-2.1793;155.1127;53.1987;9.9288
1/1/2009;3;-1.6919;-0.6083;-1.9781;144.8807;72.2547;9.3147
1/1/2009;4;-1.7079;-0.3505;-1.9603;133.6127;84.6641;8.7188
1/1/2009;5;-1.6317;-0.4163;-1.9706;122.1089;94.4064;8.6768
1/1/2009;6;-1.5813;-0.3571;-1.813;110.7358;103.1786;8.292
1/1/2009;7;-1.3912;-0.5298;-1.908;99.7587;111.8733;8.1148
1/1/2009;8;15.6705;29.7461;13.7125;89.3056;121.0997;8.5232
1/1/2009;9;99.6476;51.1162;87.843;80.082;131.3609;8.6737
1/1/2009;10;192.4677;58.0446;174.6318;72.2912;143.0734;9.3655
1/1/2009;11;296.298;66.9174;264.442;66.495;156.4467;9.9647
1/1/2009;12;325.9843;47.5256;299.0152;63.2882;171.2539;10.7548
1/1/2009;13;340.1103;103.1956;285.0127;63.0781;186.6926;11.7197
1/1/2009;14;189.755;44.5203;166.4517;65.8938;201.6457;11.562
1/1/2009;15;178.4263;34.7684;163.5595;71.3702;215.2421;12.0443
1/1/2009;16;177.4838;328.6034;119.8608;78.9267;227.1784;12.4638
1/1/2009;17;46.7959;130.3147;32.2507;87.9568;237.6197;11.5228
1/1/2009;18;-1.3111;-0.312;-1.9049;98.3079;246.9649;10.7173
1/1/2009;19;-1.4162;-0.4801;-1.9674;109.2099;255.7084;9.968
1/1/2009;20;-1.5334;-0.2521;-1.9441;120.5422;264.44;10.0967
1/1/2009;21;-1.5411;-0.3018;-1.8812;132.0418;273.9976;10.2203
1/1/2009;22;-1.4644;-0.2648;-1.9725;143.3651;285.9177;10.1693
1/1/2009;23;-1.4464;-0.3173;-1.9457;153.8048;303.7263;9.8737
1/2/2009;0;-1.4811;-0.1089;-1.9834;161.3531;334.9603;10.6953
1/2/2009;1;-1.3722;-0.2383;-1.8332;161.9515;43.1627;9.911
1/2/2009;2;-1.3951;-0.6012;-2.0281;155.1183;52.8649;10.4902
1/2/2009;3;-1.4019;-0.3985;-2.0796;144.9122;72.0163;9.8295
1/2/2009;4;-1.4507;-0.4505;-1.9648;133.6526;84.478;9.5332
1/2/2009;5;-1.2847;-0.6429;-1.9122;122.1489;94.2476;8.176
1/2/2009;6;-1.2572;-0.5484;-1.7405;110.7711;103.0333;7.0321
1/2/2009;7;-1.3167;-0.5835;-1.8193;99.7852;111.7334;6.655
1/2/2009;8;13.9524;7.1956;13.1874;89.319;120.9598;4.7862
1/2/2009;9;117.2034;45.057;105.8686;80.0788;131.2182;5.9181
1/2/2009;10;271.6425;202.864;200.415;72.2666;142.928;8.5998
1/2/2009;11;362.398;261.5778;249.7358;66.4451;156.3033;11.6655
1/2/2009;12;458.2387;382.5875;272.1992;63.2114;171.1219;13.4238
1/2/2009;13;493.4975;649.5455;185.9727;62.9767;186.5829;15.6442
1/2/2009;14;375.8215;426.9726;193.7028;65.7735;201.5649;16.0005
1/2/2009;15;365.518;674.9874;143.3918;71.238;215.1898;16.3297
1/2/2009;16;215.8924;634.8199;77.9977;78.7888;227.1497;16.0627
1/2/2009;17;22.8357;72.4397;15.3895;87.8128;237.6092;13.3258
1/2/2009;18;-1.5408;-0.7174;-2.0478;98.1659;246.9681;12.071
1/2/2009;19;-1.4366;-0.8433;-1.9664;109.0683;255.7219;9.9205
1/2/2009;20;-1.4969;-0.508;-1.9926;120.401;264.4614;8.4175
1/2/2009;21;-1.3099;-0.6496;-2.0423;131.9005;274.0232;7.188
1/2/2009;22;-1.3178;-0.417;-2.044;143.2229;285.9372;6.1554
1/2/2009;23;-1.3857;-0.285;-2.0793;153.6628;303.698;6.2576
1/3/2009;0;-1.3756;-0.2457;-1.8931;161.228;334.7506;6.0185
1/3/2009;1;-1.4097;-0.4368;-1.9364;161.8891;48.7557;6.7748
1/3/2009;2;-1.3681;-0.5196;-1.8153;155.1168;52.5216;6.1553
1/3/2009;3;-1.4593;-0.5638;-1.6217;144.9376;71.7686;6.339
1/3/2009;4;-1.4364;-0.5731;-1.7843;133.6868;84.2841;5.3492
1/3/2009;5;-1.2242;-0.495;-2.1824;122.1835;94.0821;4.184
1/3/2009;6;-1.4908;-0.3044;-1.7825;110.8008;102.8822;4.7457
1/3/2009;7;-0.6308;-1.3594;-2.4999;99.8059;111.5883;1.1973
1/3/2009;8;3.5506;-0.1738;2.3345;89.3263;120.8155;-2.8627
1/3/2009;9;14.5929;-0.0908;13.2364;80.0691;131.0718;-3.3701
1/3/2009;10;37.7385;-0.1089;36.2538;72.235;142.7798;-3.362
1/3/2009;11;72.034;0.0602;70.4104;66.3878;156.1584;-3.1116
1/3/2009;12;103.5429;-0.0081;101.7486;63.1272;170.9901;-3.3392
1/3/2009;13;73.7937;0.0379;72.1476;62.868;186.4753;-4.2215
1/3/2009;14;64.6225;0.0559;63.2557;65.6466;201.4879;-4.7139
1/3/2009;15;38.4609;-0.0289;37.0551;71.1;215.1424;-5.2379
1/3/2009;16;16.7115;-0.0709;15.4566;78.6458;227.1268;-5.71
1/3/2009;17;3.0078;-0.1141;1.7704;87.6647;237.6049;-6.1458
1/3/2009;18;-0.3207;-0.2448;-1.5398;98.0202;246.9779;-6.5196
1/3/2009;19;-0.3667;-0.2663;-1.6523;108.9233;255.7427;-6.8328
1/3/2009;20;-0.4127;-0.1661;-1.6687;120.2567;264.4909;-7.1222
1/3/2009;21;-0.2691;-0.2906;-1.8778;131.7563;274.0582;-7.6732
1/3/2009;22;-0.2682;-0.195;-1.787;143.0774;285.9679;-8.3247
1/3/2009;23;-0.2311;-0.2473;-1.8589;153.5163;303.6838;-9.3047
1/4/2009;0;-0.32;-0.2534;-1.8532;161.0963;334.5556;-9.874
1/4/2009;1;-0.3769;-0.1697;-1.6385;161.8184;48.3498;-10.2433
1/4/2009;2;-0.4608;-0.2728;-1.766;155.1079;52.1695;-10.5472
1/4/2009;3;-0.5643;-0.2705;-1.8568;144.9568;71.5117;-10.7598
1/4/2009;4;-0.6409;-0.2145;-1.7717;133.7154;84.0826;-10.9873
1/4/2009;5;-0.7948;-0.4546;-2.1085;122.2125;93.9101;-11.8132
1/4/2009;6;-0.767;-0.0435;-1.5989;110.8248;102.7255;-12.1135
1/4/2009;7;-0.6484;-0.214;-1.6686;99.8207;111.4384;-11.5677
1/4/2009;8;7.368;-0.1259;6.7839;89.3277;120.6668;-11.1678
1/4/2009;9;66.4321;0.2704;67.7605;80.0528;130.9218;-10.2253
1/4/2009;10;161.97;0.5755;162.8436;72.1964;142.629;-9.0942
1/4/2009;11;271.42;2.0384;270.2727;66.3233;156.0121;-8.3297
1/4/2009;12;323.4913;1.9683;322.4093;63.0355;170.8586;-8.0062
1/4/2009;13;385.8828;52.6659;360.3073;62.7522;186.3699;-6.391
1/4/2009;14;437.0885;627.4373;176.4221;65.5131;201.4147;-4.817
1/4/2009;15;365.0667;807.1802;95.8951;70.9562;215.1001;-5.3365
1/4/2009;16;193.1285;682.9435;51.1394;78.4978;227.1097;-5.6515
1/4/2009;17;33.3751;157.2363;15.706;87.5124;237.607;-7.5474
1/4/2009;18;-0.8664;-0.562;-1.7856;97.8708;246.9944;-9.3648
1/4/2009;19;-1.0227;-0.353;-1.8433;108.7752;255.7706;-10.1893
1/4/2009;20;-1.0531;-0.1837;-1.5416;120.1096;264.5283;-10.298
1/4/2009;21;-1.0807;-0.3574;-1.5636;131.6091;274.1024;-9.9753
1/4/2009;22;-1.0938;-0.423;-1.5443;142.9286;286.0098;-9.7742
1/4/2009;23;-1.0679;-0.4702;-1.5677;153.3656;303.6836;-10.6852
1/5/2009;0;-1.0522;-0.5095;-1.4241;160.9581;334.3753;-10.5077
1/5/2009;1;-1.0167;-0.6494;-1.5039;161.7394;53.946;-10.9435
1/5/2009;2;-1.1742;-0.3303;-1.4309;155.0916;51.8091;-10.3048
1/5/2009;3;-1.159;-0.5057;-1.501;144.9697;71.2461;-9.5723
1/5/2009;4;-1.3464;-0.0929;-1.6326;133.7382;83.8735;-8.0085
1/5/2009;5;-1.2033;-0.2959;-1.9352;122.2359;93.7317;-7.3123
1/5/2009;6;-1.1956;-0.4348;-1.7387;110.8432;102.5633;-7.8846
1/5/2009;7;-1.3414;-0.3295;-1.7422;99.8295;111.2835;-6.6823
1/5/2009;8;28.8141;250.5494;9.6492;89.3231;120.514;-4.992
1/5/2009;9;182.3643;781.8068;38.3772;80.0299;130.7682;-1.8721
1/5/2009;10;336.3097;766.6134;101.1124;72.1508;142.4756;1.6784
