Motor voltage	TDH m	Motor amps	LPM	Motor watts	Efficiency
120	0.0	3.5	46.4	418	0
120	7.0	3.5	43.4	425	12
120	14.1	3.6	39.9	431	21
120	21.1	3.7	36.3	439	28
120	28.2	3.7	32.4	442	34
120	35.2	3.7	28.0	444	36
120	42.3	3.6	22.4	434	36
120	49.3	3.4	15.6	407	31
120	56.3	3.1	5.1	371	13
120	59.9	2.4	0.0	293	0
135	0.0	4.1	51.9	559	0
135	7.0	4.2	49.0	567	10
135	14.1	4.2	45.9	571	18
135	21.1	4.3	42.8	579	26
135	28.2	4.3	39.6	586	31
135	35.2	4.4	35.9	595	35
135	42.3	4.4	31.9	598	37
135	49.3	4.4	27.3	590	37
135	56.3	4.2	21.5	570	35
135	63.4	3.9	14.7	531	29
135	70.4	3.3	6.4	450	16
135	75.4	2.9	0.0	392	0
150	0.0	4.9	57.7	729	0
150	7.0	4.9	55.4	734	9
150	14.1	5.0	52.9	743	16
150	21.1	5.0	50.3	749	23
150	28.2	5.1	47.5	759	29
150	35.2	5.1	44.3	768	33
150	42.3	5.2	40.9	776	36
150	49.3	5.2	37.1	780	38
150	56.3	5.2	32.6	777	39
150	63.4	5.1	27.9	761	38
150	70.4	4.9	22.3	731	35
150	77.5	4.5	15.6	678	29
150	84.5	4.0	7.6	594	18
150	90.1	3.4	0.0	503	0
165	0.0	5.7	62.9	932	0
165	7.0	5.7	60.7	944	7
165	14.1	5.8	58.4	954	14
165	21.1	5.8	56.0	962	20
165	28.2	5.9	53.6	970	25
165	35.2	6.0	51.1	983	30
165	42.3	6.0	48.2	997	33
165	49.3	6.1	45.3	1007	36
165	56.3	6.1	41.8	1007	38
165	63.4	6.1	38.2	1007	39
165	70.4	6.1	34.1	998	39
165	77.5	5.9	29.5	974	38
165	84.5	5.7	24.2	941	36
165	91.6	5.3	18.3	878	31
165	98.6	4.8	11.0	790	22
165	107.0	3.8	0.0	630	0
180	0.0	6.4	68.0	1154	0
180	7.0	6.5	65.9	1161	7
180	14.1	6.5	63.7	1172	13
180	21.1	6.6	61.4	1186	18
180	28.2	6.7	59.1	1199	23
180	35.2	6.7	56.5	1206	27
180	42.3	6.8	54.0	1217	31
180	49.3	6.8	51.5	1219	34
180	56.3	6.8	49.0	1229	37
180	63.4	6.9	46.1	1237	39
180	70.4	6.9	43.0	1237	40
180	84.5	6.8	35.8	1215	41
180	91.6	6.6	31.5	1192	39
180	98.6	6.4	26.2	1152	37
180	105.6	6.1	20.7	1105	32
180	112.7	5.7	14.3	1022	26
180	119.7	5.1	7.0	918	15
180	125.4	4.4	0.0	790	0
