Motor Voltage	TDH m	Motor Amps	LPM	Motor Watts	Efficiency
75	0.0	5.9	59.3	443	0
75	7.0	6.0	54.7	447	14
75	14.1	5.9	50.1	446	26
75	21.1	5.9	45.1	440	35
75	28.2	5.7	39.1	428	42
75	35.2	5.4	31.6	401	45
75	42.3	4.6	19.6	345	39
75	48.6	3.1	0.0	233	0
90	0.0	7.9	69.9	708	0
90	7.0	7.9	66.2	710	11
90	14.1	7.9	62.7	711	20
90	21.1	7.9	58.4	709	28
90	28.2	7.8	53.9	706	35
90	35.2	7.7	49.2	694	41
90	42.3	7.5	43.4	674	44
90	49.3	7.1	36.1	635	46
90	56.3	6.5	26.2	584	41
90	66.9	4.0	0.0	356	0
105	0.0	9.8	80.4	1032	0
105	7.0	9.8	77.0	1033	9
105	14.1	9.9	73.7	1034	16
105	21.1	9.9	70.1	1034	23
105	28.2	9.8	66.1	1030	30
105	35.2	9.7	62.1	1022	35
105	42.3	9.7	57.9	1016	39
105	49.3	9.5	52.8	1000	43
105	56.3	9.3	47.4	977	45
105	63.4	8.9	41.6	930	46
105	70.4	8.4	35.2	885	46
105	77.5	7.8	25.5	816	40
105	84.5	6.4	10.7	672	22
105	88.7	5.0	0.0	520	0
120	0.0	11.8	89.7	1415	0
120	7.0	11.8	86.8	1421	7
120	14.1	11.9	84.0	1426	14
120	21.1	11.9	81.1	1426	20
120	28.2	11.9	78.0	1424	25
120	35.2	11.8	74.9	1420	30
120	42.3	11.8	71.2	1412	35
120	49.3	11.7	67.3	1408	38
120	56.3	11.6	63.0	1394	42
120	63.4	11.5	58.4	1374	44
120	70.4	11.2	53.4	1340	46
120	77.5	10.8	48.0	1301	47
120	84.5	10.5	42.4	1254	47
120	91.6	9.9	35.9	1193	45
120	98.6	9.1	27.3	1094	40
120	105.6	8.1	16.1	968	29
120	112.7	6.0	0.0	719	0
